suite,eval_id,provider_id,provider_label,prompt_label,prompt_version,input_mode,case_id,variant,score,passed,api_error,latency_ms,cost,prompt_tokens,completion_tokens,total_tokens
sentinel-text,eval-dsx-2026-08-22T19:25:45,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,document-extraction:v1-production,v1-production,,MA-01,interactive,0.20392902408111532,False,False,6505,0.00030260000000000004,438,172,610
sentinel-text,eval-dsx-2026-08-22T19:25:45,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,document-extraction:v2-evidence-bound,v2-evidence-bound,,MA-01,interactive,0.18726235741444863,False,False,7778,0.0004552,601,268,869
sentinel-text,eval-dsx-2026-08-22T19:25:45,openai:chat:gpt-5.4,openai-large:gpt-5.4,document-extraction:v1-production,v1-production,,MA-01,interactive,0.38631178707224334,False,False,3427,0.00351,438,161,599
sentinel-text,eval-dsx-2026-08-22T19:25:45,openai:chat:gpt-5.4,openai-large:gpt-5.4,document-extraction:v2-evidence-bound,v2-evidence-bound,,MA-01,interactive,0.38631178707224334,False,False,2627,0.0040375,601,169,770
sentinel-text,eval-dsx-2026-08-22T19:25:45,openai:chat:mistral-small-2503,mistral-small:mistral-small-2503,document-extraction:v1-production,v1-production,,MA-01,interactive,0.273574144486692,False,False,1205,0,467,71,538
sentinel-text,eval-dsx-2026-08-22T19:25:45,openai:chat:mistral-small-2503,mistral-small:mistral-small-2503,document-extraction:v2-evidence-bound,v2-evidence-bound,,MA-01,interactive,0.38631178707224334,False,False,1205,0,635,147,782
sentinel-text,eval-dsx-2026-08-22T19:25:45,openai:chat:mistral-large-3,mistral-large:mistral-large-3,document-extraction:v1-production,v1-production,,MA-01,interactive,0.38631178707224334,False,False,6306,0,467,155,622
sentinel-text,eval-dsx-2026-08-22T19:25:45,openai:chat:DeepSeek-V4-Flash-Jack,deepseek-small:deepseek-v4-flash,document-extraction:v1-production,v1-production,,MA-01,interactive,0.2614719904648391,False,False,1127,0,447,112,559
sentinel-text,eval-dsx-2026-08-22T19:25:45,openai:chat:DeepSeek-V4-Flash-Jack,deepseek-small:deepseek-v4-flash,document-extraction:v2-evidence-bound,v2-evidence-bound,,MA-01,interactive,0.38631178707224334,False,False,1119,0,613,135,748
sentinel-text,eval-dsx-2026-08-22T19:25:45,openai:chat:deepseek-v4,deepseek-large:deepseek-v4-pro,document-extraction:v1-production,v1-production,,MA-01,interactive,0.38631178707224334,False,False,4684,0,447,90,537
sentinel-text,eval-dsx-2026-08-22T19:25:45,openai:chat:mistral-large-3,mistral-large:mistral-large-3,document-extraction:v2-evidence-bound,v2-evidence-bound,,MA-01,interactive,0.38631178707224334,False,False,13471,0,635,127,762
sentinel-text,eval-dsx-2026-08-22T19:25:45,openai:chat:deepseek-v4,deepseek-large:deepseek-v4-pro,document-extraction:v2-evidence-bound,v2-evidence-bound,,MA-01,interactive,0.38631178707224334,False,False,1580,0,613,127,740
sentinel-text,eval-dsx-2026-08-22T19:25:45,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,document-extraction:v1-production,v1-production,,MA-01,flattened,1.0,True,False,2136,0.00040805,559,237,796
sentinel-text,eval-dsx-2026-08-22T19:25:45,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,document-extraction:v2-evidence-bound,v2-evidence-bound,,MA-01,flattened,1.0,True,False,1545,0.0002894,722,116,838
sentinel-text,eval-dsx-2026-08-22T19:25:45,openai:chat:gpt-5.4,openai-large:gpt-5.4,document-extraction:v2-evidence-bound,v2-evidence-bound,,MA-01,flattened,0.8372623574144487,True,False,3642,0.006365,722,304,1026
sentinel-text,eval-dsx-2026-08-22T19:25:45,openai:chat:mistral-small-2503,mistral-small:mistral-small-2503,document-extraction:v1-production,v1-production,,MA-01,flattened,0.8372623574144487,True,False,1166,0,616,122,738
sentinel-text,eval-dsx-2026-08-22T19:25:45,openai:chat:mistral-small-2503,mistral-small:mistral-small-2503,document-extraction:v2-evidence-bound,v2-evidence-bound,,MA-01,flattened,0.8372623574144487,True,False,1160,0,784,154,938
sentinel-text,eval-dsx-2026-08-22T19:25:45,openai:chat:mistral-large-3,mistral-large:mistral-large-3,document-extraction:v1-production,v1-production,,MA-01,flattened,1.0,True,False,2212,0,616,161,777
sentinel-text,eval-dsx-2026-08-22T19:25:45,openai:chat:gpt-5.4,openai-large:gpt-5.4,document-extraction:v1-production,v1-production,,MA-01,flattened,0.8372623574144487,True,False,9784,0.0065275,559,342,901
sentinel-text,eval-dsx-2026-08-22T19:25:45,openai:chat:mistral-large-3,mistral-large:mistral-large-3,document-extraction:v2-evidence-bound,v2-evidence-bound,,MA-01,flattened,1.0,True,False,1791,0,784,155,939
sentinel-text,eval-dsx-2026-08-22T19:25:45,openai:chat:DeepSeek-V4-Flash-Jack,deepseek-small:deepseek-v4-flash,document-extraction:v1-production,v1-production,,MA-01,flattened,0.9202026221692492,True,False,1949,0,572,139,711
sentinel-text,eval-dsx-2026-08-22T19:25:45,openai:chat:DeepSeek-V4-Flash-Jack,deepseek-small:deepseek-v4-flash,document-extraction:v2-evidence-bound,v2-evidence-bound,,MA-01,flattened,1.0,True,False,886,0,738,146,884
sentinel-text,eval-dsx-2026-08-22T19:25:45,openai:chat:deepseek-v4,deepseek-large:deepseek-v4-pro,document-extraction:v1-production,v1-production,,MA-01,flattened,0.8372623574144487,True,False,1514,0,572,113,685
sentinel-text,eval-dsx-2026-08-22T19:25:45,openai:chat:deepseek-v4,deepseek-large:deepseek-v4-pro,document-extraction:v2-evidence-bound,v2-evidence-bound,,MA-01,flattened,1.0,True,False,2653,0,738,157,895
sentinel-text,eval-dsx-2026-08-22T19:25:45,openai:chat:mistral-large-3,mistral-large:mistral-large-3,document-extraction:v1-production,v1-production,,VT-06,flattened,0.0,False,False,3036,0,508,114,622
sentinel-text,eval-dsx-2026-08-22T19:25:45,openai:chat:DeepSeek-V4-Flash-Jack,deepseek-small:deepseek-v4-flash,document-extraction:v1-production,v1-production,,VT-06,flattened,0.4936056105610561,False,False,1796,0,479,153,632
sentinel-text,eval-dsx-2026-08-22T19:25:45,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,document-extraction:v1-production,v1-production,,VT-06,flattened,0.6192619261926192,True,False,2799,0.00044835000000000003,473,283,756
sentinel-text,eval-dsx-2026-08-22T19:25:45,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,document-extraction:v2-evidence-bound,v2-evidence-bound,,VT-06,flattened,0.6192619261926192,True,False,2015,0.0003288,644,160,804
sentinel-text,eval-dsx-2026-08-22T19:25:45,openai:chat:gpt-5.4,openai-large:gpt-5.4,document-extraction:v2-evidence-bound,v2-evidence-bound,,VT-06,flattened,0.8235854588097332,True,False,5775,0.0046700000000000005,644,204,848
sentinel-text,eval-dsx-2026-08-22T19:25:45,openai:chat:mistral-small-2503,mistral-small:mistral-small-2503,document-extraction:v1-production,v1-production,,VT-06,flattened,0.702726473175022,True,False,996,0,508,93,601
sentinel-text,eval-dsx-2026-08-22T19:25:45,openai:chat:mistral-small-2503,mistral-small:mistral-small-2503,document-extraction:v2-evidence-bound,v2-evidence-bound,,VT-06,flattened,0.6192619261926192,True,False,1739,0,685,159,844
sentinel-text,eval-dsx-2026-08-22T19:25:45,openai:chat:gpt-5.4,openai-large:gpt-5.4,document-extraction:v1-production,v1-production,,VT-06,flattened,0.8235854588097332,True,False,11972,0.0053975,473,281,754
sentinel-text,eval-dsx-2026-08-22T19:25:45,openai:chat:mistral-large-3,mistral-large:mistral-large-3,document-extraction:v2-evidence-bound,v2-evidence-bound,,VT-06,flattened,1.0,True,False,2598,0,685,138,823
sentinel-text,eval-dsx-2026-08-22T19:25:45,openai:chat:DeepSeek-V4-Flash-Jack,deepseek-small:deepseek-v4-flash,document-extraction:v2-evidence-bound,v2-evidence-bound,,VT-06,flattened,0.6693931398416886,True,False,1122,0,653,122,775
sentinel-text,eval-dsx-2026-08-22T19:25:45,openai:chat:deepseek-v4,deepseek-large:deepseek-v4-pro,document-extraction:v2-evidence-bound,v2-evidence-bound,,VT-06,flattened,1.0,True,False,1449,0,653,132,785
sentinel-text,eval-dsx-2026-08-22T19:25:45,openai:chat:deepseek-v4,deepseek-large:deepseek-v4-pro,document-extraction:v1-production,v1-production,,VT-06,flattened,1.0,True,False,3757,0,479,98,577
sentinel-text,eval-dsx-2026-08-22T19:25:45,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,document-extraction:v1-production,v1-production,,IL-04,flattened,0.8529276693455798,True,False,2176,0.00037210000000000005,473,222,695
sentinel-text,eval-dsx-2026-08-22T19:25:45,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,document-extraction:v2-evidence-bound,v2-evidence-bound,,IL-04,flattened,0.8529276693455798,True,False,1595,0.000302,860,104,964
sentinel-text,eval-dsx-2026-08-22T19:25:45,openai:chat:gpt-5.4,openai-large:gpt-5.4,document-extraction:v2-evidence-bound,v2-evidence-bound,,IL-04,flattened,0.8973721137900241,True,False,3884,0.00707,860,328,1188
sentinel-text,eval-dsx-2026-08-22T19:25:45,openai:chat:mistral-small-2503,mistral-small:mistral-small-2503,document-extraction:v1-production,v1-production,,IL-04,flattened,0.7849853297614491,True,False,1071,0,518,103,621
sentinel-text,eval-dsx-2026-08-22T19:25:45,openai:chat:mistral-small-2503,mistral-small:mistral-small-2503,document-extraction:v2-evidence-bound,v2-evidence-bound,,IL-04,flattened,0.8529276693455798,True,False,1161,0,931,137,1068
sentinel-text,eval-dsx-2026-08-22T19:25:45,openai:chat:gpt-5.4,openai-large:gpt-5.4,document-extraction:v1-production,v1-production,,IL-04,flattened,0.8973721137900241,True,False,7395,0.0047225,473,236,709
sentinel-text,eval-dsx-2026-08-22T19:25:45,openai:chat:mistral-large-3,mistral-large:mistral-large-3,document-extraction:v1-production,v1-production,,IL-04,flattened,0.7849853297614491,True,False,1332,0,518,115,633
sentinel-text,eval-dsx-2026-08-22T19:25:45,openai:chat:mistral-large-3,mistral-large:mistral-large-3,document-extraction:v2-evidence-bound,v2-evidence-bound,,IL-04,flattened,0.8529276693455798,True,False,1687,0,931,150,1081
sentinel-text,eval-dsx-2026-08-22T19:25:45,openai:chat:DeepSeek-V4-Flash-Jack,deepseek-small:deepseek-v4-flash,document-extraction:v1-production,v1-production,,IL-04,flattened,0.6662595005428882,True,False,1328,0,480,134,614
sentinel-text,eval-dsx-2026-08-22T19:25:45,openai:chat:DeepSeek-V4-Flash-Jack,deepseek-small:deepseek-v4-flash,document-extraction:v2-evidence-bound,v2-evidence-bound,,IL-04,flattened,0.8529276693455798,True,False,1610,0,869,131,1000
