suite,eval_id,provider_id,provider_label,prompt_label,prompt_version,input_mode,case_id,variant,classification_level,score,passed,api_error,latency_ms,cost,prompt_tokens,completion_tokens,total_tokens
classification,eval-uwq-2026-08-23T02:41:10,openai:chat:mistral-large-3,mistral-large:mistral-large-3,taxonomy-classification:v2:form-crosswalk,v2,form-crosswalk,MA-01,flattened,case category,1.0,True,False,1489,0,1397,217,1614
classification,eval-uwq-2026-08-23T02:41:10,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,taxonomy-classification:v2:form-crosswalk,v2,form-crosswalk,MA-01,flattened,case category,1.0,True,False,1940,0.00047620000000000003,1231,184,1415
classification,eval-uwq-2026-08-23T02:41:10,openai:chat:mistral-large-3,mistral-large:mistral-large-3,taxonomy-classification:v2:form-crosswalk,v2,form-crosswalk,MA-01,flattened,case type,1.0,True,False,1566,0,1156,211,1367
classification,eval-uwq-2026-08-23T02:41:10,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,taxonomy-classification:v2:form-crosswalk,v2,form-crosswalk,MA-01,flattened,case type,1.0,True,False,2479,0.00047835,1048,215,1263
classification,eval-uwq-2026-08-23T02:41:10,openai:chat:mistral-large-3,mistral-large:mistral-large-3,taxonomy-classification:v2:form-crosswalk,v2,form-crosswalk,MA-01,flattened,filing type,1.0,True,False,3359,0,1618,233,1851
classification,eval-uwq-2026-08-23T02:41:10,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,taxonomy-classification:v2:form-crosswalk,v2,form-crosswalk,MA-01,flattened,filing type,1.0,True,False,4229,0.0003037,1433,198,1631
classification,eval-uwq-2026-08-23T02:41:10,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,taxonomy-classification:v2:form-crosswalk,v2,form-crosswalk,MA-05,flattened,filing type,1.0,True,False,1830,0.00031958,1307,194,1501
classification,eval-uwq-2026-08-23T02:41:10,openai:chat:mistral-large-3,mistral-large:mistral-large-3,taxonomy-classification:v2:form-crosswalk,v2,form-crosswalk,MA-05,flattened,filing type,1.0,True,False,1649,0,1455,212,1667
classification,eval-uwq-2026-08-23T02:41:10,openai:chat:mistral-large-3,mistral-large:mistral-large-3,taxonomy-classification:v2:form-crosswalk,v2,form-crosswalk,MA-06,flattened,case type,1.0,True,False,1314,0,1176,157,1333
classification,eval-uwq-2026-08-23T02:41:10,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,taxonomy-classification:v2:form-crosswalk,v2,form-crosswalk,MA-06,flattened,case type,1.0,True,False,2388,0.00045815000000000005,1072,195,1267
classification,eval-uwq-2026-08-23T02:41:10,openai:chat:mistral-large-3,mistral-large:mistral-large-3,taxonomy-classification:v2:form-crosswalk,v2,form-crosswalk,MA-06,flattened,filing type,1.0,True,False,1374,0,1929,205,2134
classification,eval-uwq-2026-08-23T02:41:10,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,taxonomy-classification:v2:form-crosswalk,v2,form-crosswalk,MA-06,flattened,filing type,1.0,True,False,2416,0.00031857,1719,201,1920
classification,eval-uwq-2026-08-23T02:41:10,openai:chat:mistral-large-3,mistral-large:mistral-large-3,taxonomy-classification:v2:form-crosswalk,v2,form-crosswalk,VT-01,flattened,case category,1.0,True,False,1306,0,1118,205,1323
classification,eval-uwq-2026-08-23T02:41:10,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,taxonomy-classification:v2:form-crosswalk,v2,form-crosswalk,VT-01,flattened,case category,1.0,True,False,1755,0.00038985000000000007,1018,149,1167
classification,eval-uwq-2026-08-23T02:41:10,openai:chat:mistral-large-3,mistral-large:mistral-large-3,taxonomy-classification:v2:form-crosswalk,v2,form-crosswalk,VT-01,flattened,case type,0.3,False,False,2113,0,1622,231,1853
classification,eval-uwq-2026-08-23T02:41:10,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,taxonomy-classification:v2:form-crosswalk,v2,form-crosswalk,VT-01,flattened,case type,1.0,True,False,1995,0.0003571,1450,238,1688
classification,eval-uwq-2026-08-23T02:41:10,openai:chat:mistral-large-3,mistral-large:mistral-large-3,taxonomy-classification:v2:form-crosswalk,v2,form-crosswalk,VT-01,flattened,filing type,1.0,True,False,1599,0,4426,211,4637
classification,eval-uwq-2026-08-23T02:41:10,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,taxonomy-classification:v2:form-crosswalk,v2,form-crosswalk,VT-01,flattened,filing type,1.0,True,False,2282,0.00038728000000000005,3837,212,4049
classification,eval-uwq-2026-08-23T02:41:10,openai:chat:mistral-large-3,mistral-large:mistral-large-3,taxonomy-classification:v2:form-crosswalk,v2,form-crosswalk,VT-03,flattened,case type,1.0,True,False,1523,0,2600,184,2784
classification,eval-uwq-2026-08-23T02:41:10,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,taxonomy-classification:v2:form-crosswalk,v2,form-crosswalk,VT-03,flattened,case type,1.0,True,False,2343,0.00041566,2234,270,2504
