id,jurisdiction,form_name,interactive_pdf,flattened_pdf,direct_fields,semantic_fields,optional_inferences,do_not_require
MA-01,massachusetts,"Complaint for Divorce under G.L. c. 208, § 1B",filled_pdfs/interactive/MA-01.pdf,filled_pdfs/flattened/MA-01.pdf,document title; court; case title; plaintiff or petitioner names; defendant or respondent names; document date,filing type; case category; case type,,
MA-02,massachusetts,"Joint Petition for Divorce under G.L. c. 208, § 1A",filled_pdfs/interactive/MA-02.pdf,filled_pdfs/flattened/MA-02.pdf,document title; court; plaintiff or petitioner names; other party names; document date,filing type; case category; case type,,
MA-03,massachusetts,"Complaint for Support, Custody, Parenting Time",filled_pdfs/interactive/MA-03.pdf,filled_pdfs/flattened/MA-03.pdf,document title; court; case title; plaintiff or petitioner names; defendant or respondent names; other party names; document date,filing type; case category; case type,,
MA-04,massachusetts,Complaint for Separate Support,filled_pdfs/interactive/MA-04.pdf,filled_pdfs/flattened/MA-04.pdf,document title; court; case title; plaintiff or petitioner names; defendant or respondent names; document date,filing type; case category; case type,,
MA-05,massachusetts,Petition to Change Name of Adult,filled_pdfs/interactive/MA-05.pdf,filled_pdfs/flattened/MA-05.pdf,document title; court; case title; plaintiff or petitioner names; document date,filing type; case category; case type,,
MA-06,massachusetts,Statement of Small Claim and Notice for eFiling,filled_pdfs/interactive/MA-06.pdf,filled_pdfs/flattened/MA-06.pdf,document title; court; case title; plaintiff or petitioner names; defendant or respondent names; document date,filing type; case category; case type,,
MA-07,massachusetts,Summary Process Summons and Complaint,filled_pdfs/interactive/MA-07.pdf,filled_pdfs/flattened/MA-07.pdf,document title; court; case title; plaintiff or petitioner names; defendant or respondent names; document date,filing type; case category; case type,,
MA-08,massachusetts,Motion to the Court and Affidavit,filled_pdfs/interactive/MA-08.pdf,filled_pdfs/flattened/MA-08.pdf,document title; court; docket number; case title; plaintiff or petitioner names; defendant or respondent names; document date,filing type,,case category; case type
MA-09,massachusetts,Motion,filled_pdfs/interactive/MA-09.pdf,filled_pdfs/flattened/MA-09.pdf,document title; court; docket number; case title; plaintiff or petitioner names; defendant or respondent names; document date,filing type,,case category; case type
MA-10,massachusetts,Request for Default Judgment,filled_pdfs/interactive/MA-10.pdf,filled_pdfs/flattened/MA-10.pdf,document title; court; docket number; case title; plaintiff or petitioner names; defendant or respondent names; document date,filing type; case category,,
VT-01,vermont,Complaint for Divorce/Legal Separation/Dissolution without Children,filled_pdfs/interactive/VT-01.pdf,filled_pdfs/flattened/VT-01.pdf,document title; court; case category; case title; plaintiff or petitioner names; defendant or respondent names; document date,filing type; case type,,
VT-02,vermont,Complaint for Divorce/Legal Separation/Dissolution with Children,filled_pdfs/interactive/VT-02.pdf,filled_pdfs/flattened/VT-02.pdf,document title; court; case category; case title; plaintiff or petitioner names; defendant or respondent names; other party names; document date,filing type; case type,,
VT-03,vermont,Small Claims Complaint,filled_pdfs/interactive/VT-03.pdf,filled_pdfs/flattened/VT-03.pdf,document title; court; case category; case title; plaintiff or petitioner names; defendant or respondent names; document date,filing type; case type,,
VT-04,vermont,Civil Division Answer,filled_pdfs/interactive/VT-04.pdf,filled_pdfs/flattened/VT-04.pdf,document title; court; case category; docket number; case title; plaintiff or petitioner names; defendant or respondent names; document date,filing type,,
VT-05,vermont,Complaint for Relief from Abuse,filled_pdfs/interactive/VT-05.pdf,filled_pdfs/flattened/VT-05.pdf,document title; court; case category; case title; plaintiff or petitioner names; defendant or respondent names; document date,filing type; case type,,
VT-06,vermont,Petition of Adult to Change Name,filled_pdfs/interactive/VT-06.pdf,filled_pdfs/flattened/VT-06.pdf,document title; court; case category; case title; plaintiff or petitioner names; document date,filing type; case type,,
VT-07,vermont,Petition to Appoint Custodial Guardian for a Minor,filled_pdfs/interactive/VT-07.pdf,filled_pdfs/flattened/VT-07.pdf,document title; court; case category; case title; plaintiff or petitioner names; other party names; document date,filing type; case type,,
VT-08,vermont,Miscellaneous Motion - Family Division,filled_pdfs/interactive/VT-08.pdf,filled_pdfs/flattened/VT-08.pdf,document title; court; case category; docket number; case title; plaintiff or petitioner names; defendant or respondent names; document date,filing type,,case type
VT-09,vermont,Civil Division Motion,filled_pdfs/interactive/VT-09.pdf,filled_pdfs/flattened/VT-09.pdf,document title; court; case category; docket number; case title; plaintiff or petitioner names; defendant or respondent names; document date,filing type,,case type
VT-10,vermont,Motion to Modify Child Support and/or Maintenance Supplement,filled_pdfs/interactive/VT-10.pdf,filled_pdfs/flattened/VT-10.pdf,document title; court; case category; docket number; case title; plaintiff or petitioner names; defendant or respondent names; other party names; document date,filing type; case type,,
IL-01,illinois,Complaint or Petition,filled_pdfs/interactive/IL-01.pdf,filled_pdfs/flattened/IL-01.pdf,document title; court; case title; plaintiff or petitioner names; defendant or respondent names,filing type; case category,,document date
IL-02,illinois,Petition for Divorce with Children,filled_pdfs/interactive/IL-02.pdf,filled_pdfs/flattened/IL-02.pdf,document title; court; case title; plaintiff or petitioner names; defendant or respondent names; other party names,filing type; case category; case type,,document date
IL-03,illinois,Eviction Complaint,filled_pdfs/interactive/IL-03.pdf,filled_pdfs/flattened/IL-03.pdf,document title; court; case title; plaintiff or petitioner names; defendant or respondent names; document date,filing type; case category; case type,,
IL-04,illinois,Small Claims Complaint,filled_pdfs/interactive/IL-04.pdf,filled_pdfs/flattened/IL-04.pdf,document title; court; case title; plaintiff or petitioner names; defendant or respondent names,filing type; case category; case type,,document date
IL-05,illinois,Request for Name Change,filled_pdfs/interactive/IL-05.pdf,filled_pdfs/flattened/IL-05.pdf,document title; court; case title; plaintiff or petitioner names; document date,filing type; case category; case type,,
IL-06,illinois,Petition for Guardianship of a Minor,filled_pdfs/interactive/IL-06.pdf,filled_pdfs/flattened/IL-06.pdf,document title; court; case title; plaintiff or petitioner names; other party names; document date,filing type; case category; case type,,
IL-07,illinois,Petition for Order of Protection,filled_pdfs/interactive/IL-07.pdf,filled_pdfs/flattened/IL-07.pdf,document title; court; case title; plaintiff or petitioner names; defendant or respondent names,filing type; case category; case type,,document date
IL-08,illinois,Application for Waiver of Court Fees,filled_pdfs/interactive/IL-08.pdf,filled_pdfs/flattened/IL-08.pdf,document title; court; docket number; case title; defendant or respondent names; other party names,filing type,,document date
IL-09,illinois,Motion,filled_pdfs/interactive/IL-09.pdf,filled_pdfs/flattened/IL-09.pdf,document title; court; docket number; case title; plaintiff or petitioner names; defendant or respondent names; document date,filing type,,case category; case type
IL-10,illinois,Motion,filled_pdfs/interactive/IL-10.pdf,filled_pdfs/flattened/IL-10.pdf,document title; court; docket number; case title; other party names; document date,filing type,case category; case type,
