suite,provider_label,prompt_label,prompt_version,input_mode,case_id,variant,classification_level,field,passed,score,reason
form-identity-vision,openai-small:gpt-5.4-nano,document-extraction:v1-production:vision,v1-production,vision,MA-01,flattened,,form name,False,0.0,"form name: missing (synthetic_document_ground_truth, confidence 0.99)"
form-identity-vision,openai-small:gpt-5.4-nano,document-extraction:v1-production:vision,v1-production,vision,MA-01,flattened,,form identifier,True,1.0,"form identifier: matched (synthetic_document_ground_truth, confidence 0.99)"
form-identity-vision,openai-small:gpt-5.4-nano,document-extraction:v1-production:vision,v1-production,vision,MA-01,flattened,,document title,True,1.0,"document title: matched (synthetic_document_ground_truth, confidence 0.99)"
form-identity-vision,openai-small:gpt-5.4-nano,document-extraction:v1-production:vision,v1-production,vision,MA-01,flattened,,court,True,1.0,"court: matched (synthetic_document_ground_truth, confidence 0.99)"
form-identity-vision,openai-small:gpt-5.4-nano,document-extraction:v1-production:vision,v1-production,vision,MA-01,flattened,,case title,True,1.0,"case title: matched (synthetic_document_ground_truth, confidence 0.99)"
form-identity-vision,openai-small:gpt-5.4-nano,document-extraction:v1-production:vision,v1-production,vision,MA-01,flattened,,plaintiff or petitioner names,True,1.0,"plaintiff or petitioner names: matched (synthetic_document_ground_truth, confidence 0.99)"
form-identity-vision,openai-small:gpt-5.4-nano,document-extraction:v1-production:vision,v1-production,vision,MA-01,flattened,,defendant or respondent names,True,1.0,"defendant or respondent names: matched (synthetic_document_ground_truth, confidence 0.99)"
form-identity-vision,openai-small:gpt-5.4-nano,document-extraction:v1-production:vision,v1-production,vision,MA-01,flattened,,document date,True,1.0,"document date: matched (synthetic_document_ground_truth, confidence 0.99)"
form-identity-vision,openai-small:gpt-5.4-nano,document-extraction:v1-production:vision,v1-production,vision,MA-01,flattened,,filing type,True,1.0,"filing type: matched (synthetic_semantic_label_unverified, confidence 0.65)"
form-identity-vision,openai-small:gpt-5.4-nano,document-extraction:v1-production:vision,v1-production,vision,MA-01,flattened,,case category,True,1.0,"case category: matched (synthetic_semantic_label_unverified, confidence 0.65)"
form-identity-vision,openai-small:gpt-5.4-nano,document-extraction:v1-production:vision,v1-production,vision,MA-01,flattened,,case type,False,0.0,"case type: unexpected value ""Complaint for Divorce under G.L.C. 208, §1B"" (synthetic_semantic_label_unverified, confidence 0.65)"
form-identity-vision,openai-small:gpt-5.4-nano,document-extraction:v2-evidence-bound:vision,v2-evidence-bound,vision,MA-01,flattened,,form name,False,0.0,"form name: unexpected value ""Form CJD 101B"" (synthetic_document_ground_truth, confidence 0.99)"
form-identity-vision,openai-small:gpt-5.4-nano,document-extraction:v2-evidence-bound:vision,v2-evidence-bound,vision,MA-01,flattened,,form identifier,True,1.0,"form identifier: matched (synthetic_document_ground_truth, confidence 0.99)"
form-identity-vision,openai-small:gpt-5.4-nano,document-extraction:v2-evidence-bound:vision,v2-evidence-bound,vision,MA-01,flattened,,document title,True,1.0,"document title: matched (synthetic_document_ground_truth, confidence 0.99)"
form-identity-vision,openai-small:gpt-5.4-nano,document-extraction:v2-evidence-bound:vision,v2-evidence-bound,vision,MA-01,flattened,,court,True,1.0,"court: matched (synthetic_document_ground_truth, confidence 0.99)"
form-identity-vision,openai-small:gpt-5.4-nano,document-extraction:v2-evidence-bound:vision,v2-evidence-bound,vision,MA-01,flattened,,case title,True,1.0,"case title: matched (synthetic_document_ground_truth, confidence 0.99)"
form-identity-vision,openai-small:gpt-5.4-nano,document-extraction:v2-evidence-bound:vision,v2-evidence-bound,vision,MA-01,flattened,,plaintiff or petitioner names,True,1.0,"plaintiff or petitioner names: matched (synthetic_document_ground_truth, confidence 0.99)"
form-identity-vision,openai-small:gpt-5.4-nano,document-extraction:v2-evidence-bound:vision,v2-evidence-bound,vision,MA-01,flattened,,defendant or respondent names,True,1.0,"defendant or respondent names: matched (synthetic_document_ground_truth, confidence 0.99)"
form-identity-vision,openai-small:gpt-5.4-nano,document-extraction:v2-evidence-bound:vision,v2-evidence-bound,vision,MA-01,flattened,,document date,True,1.0,"document date: matched (synthetic_document_ground_truth, confidence 0.99)"
