suite,provider_label,prompt_label,runs,mean_score,passes,errors,mean_latency_ms,total_tokens,total_cost
modality-text,meta-large:llama-4-maverick,document-extraction:v1-production:text,2,0.0,0,0,2436,2604,0
modality-text,meta-large:llama-4-maverick,document-extraction:v2-evidence-bound:text,2,0.429404,1,0,618,1402,0
modality-text,meta-small:llama-4-scout,document-extraction:v1-production:text,2,0.0,0,0,1194,1054,0
modality-text,meta-small:llama-4-scout,document-extraction:v2-evidence-bound:text,2,0.418631,1,0,1062,1360,0
modality-text,openai-large:gpt-4o,document-extraction:v1-production:text,2,0.415733,1,0,1267,1179,0.0055275
modality-text,openai-large:gpt-4o,document-extraction:v2-evidence-bound:text,2,0.5,1,0,1118,1365,0.0049425
modality-text,openai-large:gpt-5.4,document-extraction:v1-production:text,2,0.418631,1,0,8196,1222,0.0079175
modality-text,openai-large:gpt-5.4,document-extraction:v2-evidence-bound:text,2,0.418631,1,0,2969,1618,0.0097825
modality-text,openai-small:gpt-4o-mini,document-extraction:v1-production:text,2,0.32744,1,0,1897,1177,0.00033045
modality-text,openai-small:gpt-4o-mini,document-extraction:v2-evidence-bound:text,2,0.418631,1,0,1652,1377,0.00030375
modality-text,openai-small:gpt-5.4-nano,document-extraction:v1-production:text,2,0.373035,1,0,1182,966,0.00033285
modality-text,openai-small:gpt-5.4-nano,document-extraction:v2-evidence-bound:text,2,0.429404,1,0,3250,1423,0.0005618
modality-vision,meta-large:llama-4-maverick,document-extraction:v1-production:vision,2,1.0,2,0,2044,5826,0
modality-vision,meta-large:llama-4-maverick,document-extraction:v2-evidence-bound:vision,2,0.929404,2,0,1790,6073,0
modality-vision,meta-small:llama-4-scout,document-extraction:v1-production:vision,2,0.0,0,0,1853,5845,0
modality-vision,meta-small:llama-4-scout,document-extraction:v2-evidence-bound:vision,2,1.0,2,0,2080,6068,0
modality-vision,openai-large:gpt-4o,document-extraction:v1-production:vision,2,0.858809,2,0,2658,2138,0.00731
modality-vision,openai-large:gpt-4o,document-extraction:v2-evidence-bound:vision,2,0.929404,2,0,2654,2385,0.00804
modality-vision,openai-large:gpt-5.4,document-extraction:v1-production:vision,2,0.837262,2,0,2758,2819,0.01186
modality-vision,openai-large:gpt-5.4,document-extraction:v2-evidence-bound:vision,2,0.837262,2,0,5178,3311,0.01634
modality-vision,openai-small:gpt-4o-mini,document-extraction:v1-production:vision,2,1.0,2,0,2185,51875,0.0078942
