suite,eval_id,provider_id,provider_label,prompt_label,prompt_version,input_mode,case_id,variant,classification_level,score,passed,api_error,latency_ms,cost,prompt_tokens,completion_tokens,total_tokens
classification,eval-SPu-2026-08-23T02:43:46,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,taxonomy-classification:v3:guarded-form-crosswalk,v3,guarded-form-crosswalk,MA-01,flattened,case category,1.0,True,False,1647,0.00026263,1341,143,1484
classification,eval-SPu-2026-08-23T02:43:46,openai:chat:mistral-large-3,mistral-large:mistral-large-3,taxonomy-classification:v3:guarded-form-crosswalk,v3,guarded-form-crosswalk,MA-01,flattened,case category,1.0,True,False,1680,0,1514,217,1731
classification,eval-SPu-2026-08-23T02:43:46,openai:chat:mistral-large-3,mistral-large:mistral-large-3,taxonomy-classification:v3:guarded-form-crosswalk,v3,guarded-form-crosswalk,MA-01,flattened,case type,1.0,True,False,1691,0,1273,216,1489
classification,eval-SPu-2026-08-23T02:43:46,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,taxonomy-classification:v3:guarded-form-crosswalk,v3,guarded-form-crosswalk,MA-01,flattened,case type,1.0,True,False,2098,0.00046535,1158,187,1345
classification,eval-SPu-2026-08-23T02:43:46,openai:chat:mistral-large-3,mistral-large:mistral-large-3,taxonomy-classification:v3:guarded-form-crosswalk,v3,guarded-form-crosswalk,MA-01,flattened,filing type,1.0,True,False,1502,0,1735,239,1974
classification,eval-SPu-2026-08-23T02:43:46,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,taxonomy-classification:v3:guarded-form-crosswalk,v3,guarded-form-crosswalk,MA-01,flattened,filing type,1.0,True,False,2448,0.0003282,1543,200,1743
classification,eval-SPu-2026-08-23T02:43:46,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,taxonomy-classification:v3:guarded-form-crosswalk,v3,guarded-form-crosswalk,MA-05,flattened,filing type,1.0,True,False,1903,0.00030783000000000004,1417,167,1584
classification,eval-SPu-2026-08-23T02:43:46,openai:chat:mistral-large-3,mistral-large:mistral-large-3,taxonomy-classification:v3:guarded-form-crosswalk,v3,guarded-form-crosswalk,MA-05,flattened,filing type,1.0,True,False,1647,0,1572,204,1776
classification,eval-SPu-2026-08-23T02:43:46,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,taxonomy-classification:v3:guarded-form-crosswalk,v3,guarded-form-crosswalk,MA-06,flattened,case type,1.0,True,False,2144,0.00046015000000000004,1182,179,1361
classification,eval-SPu-2026-08-23T02:43:46,openai:chat:mistral-large-3,mistral-large:mistral-large-3,taxonomy-classification:v3:guarded-form-crosswalk,v3,guarded-form-crosswalk,MA-06,flattened,case type,1.0,True,False,10154,0,1293,152,1445
classification,eval-SPu-2026-08-23T02:43:46,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,taxonomy-classification:v3:guarded-form-crosswalk,v3,guarded-form-crosswalk,MA-06,flattened,filing type,1.0,True,False,2183,0.00032432,1829,188,2017
classification,eval-SPu-2026-08-23T02:43:46,openai:chat:mistral-large-3,mistral-large:mistral-large-3,taxonomy-classification:v3:guarded-form-crosswalk,v3,guarded-form-crosswalk,MA-06,flattened,filing type,1.0,True,False,1730,0,2046,217,2263
classification,eval-SPu-2026-08-23T02:43:46,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,taxonomy-classification:v3:guarded-form-crosswalk,v3,guarded-form-crosswalk,VT-01,flattened,case category,1.0,True,False,1786,0.00040685000000000005,1128,145,1273
classification,eval-SPu-2026-08-23T02:43:46,openai:chat:mistral-large-3,mistral-large:mistral-large-3,taxonomy-classification:v3:guarded-form-crosswalk,v3,guarded-form-crosswalk,VT-01,flattened,case category,1.0,True,False,1398,0,1235,197,1432
classification,eval-SPu-2026-08-23T02:43:46,openai:chat:mistral-large-3,mistral-large:mistral-large-3,taxonomy-classification:v3:guarded-form-crosswalk,v3,guarded-form-crosswalk,VT-01,flattened,case type,0.3,False,False,7036,0,1739,237,1976
