suite,eval_id,provider_id,provider_label,prompt_label,prompt_version,input_mode,case_id,variant,classification_level,score,passed,api_error,latency_ms,cost,prompt_tokens,completion_tokens,total_tokens
classification,eval-XQs-2026-08-23T02:36:07,openai:chat:mistral-large-3,mistral-large:mistral-large-3,taxonomy-classification:v2:role-rubric,v2,role-rubric,MA-01,flattened,case category,1.0,True,False,4101,0,1237,257,1494
classification,eval-XQs-2026-08-23T02:36:07,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,taxonomy-classification:v2:role-rubric,v2,role-rubric,MA-01,flattened,case category,1.0,True,False,5230,0.00050825,1085,233,1318
classification,eval-XQs-2026-08-23T02:36:07,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,taxonomy-classification:v2:role-rubric,v2,role-rubric,MA-01,flattened,case type,1.0,True,False,1754,0.00042525,895,197,1092
classification,eval-XQs-2026-08-23T02:36:07,openai:chat:mistral-large-3,mistral-large:mistral-large-3,taxonomy-classification:v2:role-rubric,v2,role-rubric,MA-01,flattened,case type,1.0,True,False,1302,0,987,202,1189
classification,eval-XQs-2026-08-23T02:36:07,openai:chat:mistral-large-3,mistral-large:mistral-large-3,taxonomy-classification:v2:role-rubric,v2,role-rubric,MA-01,flattened,filing type,1.0,True,False,1443,0,1437,253,1690
classification,eval-XQs-2026-08-23T02:36:07,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,taxonomy-classification:v2:role-rubric,v2,role-rubric,MA-01,flattened,filing type,1.0,True,False,2099,0.00032863,1271,207,1478
classification,eval-XQs-2026-08-23T02:36:07,openai:chat:mistral-large-3,mistral-large:mistral-large-3,taxonomy-classification:v2:role-rubric,v2,role-rubric,MA-05,flattened,filing type,1.0,True,False,1339,0,1309,200,1509
classification,eval-XQs-2026-08-23T02:36:07,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,taxonomy-classification:v2:role-rubric,v2,role-rubric,MA-05,flattened,filing type,1.0,True,False,2280,0.00048320000000000004,1166,200,1366
classification,eval-XQs-2026-08-23T02:36:07,openai:chat:mistral-large-3,mistral-large:mistral-large-3,taxonomy-classification:v2:role-rubric,v2,role-rubric,MA-06,flattened,case type,1.0,True,False,1085,0,1029,148,1177
classification,eval-XQs-2026-08-23T02:36:07,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,taxonomy-classification:v2:role-rubric,v2,role-rubric,MA-06,flattened,case type,1.0,True,False,2445,0.0004152,926,184,1110
