suite,provider_label,prompt_label,prompt_version,input_mode,case_id,variant,field,passed,score,reason
sentinel-text,openai-small:gpt-5.4-nano,document-extraction:v1-production,v1-production,,MA-01,interactive,document title,True,1.0,"document title: matched (synthetic_document_ground_truth, confidence 0.99)"
sentinel-text,openai-small:gpt-5.4-nano,document-extraction:v1-production,v1-production,,MA-01,interactive,court,False,0.0,"court: unexpected value ""Probate and Family Court (The Trial Court, Commonwealth of Massachusetts)"" (synthetic_document_ground_truth, confidence 0.99)"
sentinel-text,openai-small:gpt-5.4-nano,document-extraction:v1-production,v1-production,,MA-01,interactive,case title,False,0.0,"case title: missing (synthetic_document_ground_truth, confidence 0.99)"
sentinel-text,openai-small:gpt-5.4-nano,document-extraction:v1-production,v1-production,,MA-01,interactive,plaintiff or petitioner names,False,0.0,"plaintiff or petitioner names: missing (synthetic_document_ground_truth, confidence 0.99)"
sentinel-text,openai-small:gpt-5.4-nano,document-extraction:v1-production,v1-production,,MA-01,interactive,defendant or respondent names,False,0.0,"defendant or respondent names: missing (synthetic_document_ground_truth, confidence 0.99)"
sentinel-text,openai-small:gpt-5.4-nano,document-extraction:v1-production,v1-production,,MA-01,interactive,document date,False,0.0,"document date: missing (synthetic_document_ground_truth, confidence 0.99)"
sentinel-text,openai-small:gpt-5.4-nano,document-extraction:v1-production,v1-production,,MA-01,interactive,filing type,True,1.0,"filing type: matched (synthetic_semantic_label_unverified, confidence 0.65)"
sentinel-text,openai-small:gpt-5.4-nano,document-extraction:v1-production,v1-production,,MA-01,interactive,case category,False,0.0,"case category: missing (synthetic_semantic_label_unverified, confidence 0.65)"
sentinel-text,openai-small:gpt-5.4-nano,document-extraction:v1-production,v1-production,,MA-01,interactive,case type,False,0.0,"case type: missing (synthetic_semantic_label_unverified, confidence 0.65)"
sentinel-text,openai-small:gpt-5.4-nano,document-extraction:v2-evidence-bound,v2-evidence-bound,,MA-01,interactive,document title,True,1.0,"document title: matched (synthetic_document_ground_truth, confidence 0.99)"
sentinel-text,openai-small:gpt-5.4-nano,document-extraction:v2-evidence-bound,v2-evidence-bound,,MA-01,interactive,court,False,0.0,"court: unexpected value ""Probate and Family Court"" (synthetic_document_ground_truth, confidence 0.99)"
