suite,provider_label,prompt_label,prompt_version,input_mode,case_id,variant,field,passed,score,reason
production-context,openai-small:gpt-5.4-nano,document-extraction:v2-evidence-bound:markitdown,v2-evidence-bound,markitdown,MA-01,interactive,document title,True,1.0,"document title: matched (synthetic_document_ground_truth, confidence 0.99)"
production-context,openai-small:gpt-5.4-nano,document-extraction:v2-evidence-bound:markitdown,v2-evidence-bound,markitdown,MA-01,interactive,court,False,0.0,"court: unexpected value ""Probate and Family Court"" (synthetic_document_ground_truth, confidence 0.99)"
production-context,openai-small:gpt-5.4-nano,document-extraction:v2-evidence-bound:markitdown,v2-evidence-bound,markitdown,MA-01,interactive,case title,False,0.0,"case title: missing (synthetic_document_ground_truth, confidence 0.99)"
production-context,openai-small:gpt-5.4-nano,document-extraction:v2-evidence-bound:markitdown,v2-evidence-bound,markitdown,MA-01,interactive,plaintiff or petitioner names,False,0.0,"plaintiff or petitioner names: missing (synthetic_document_ground_truth, confidence 0.99)"
production-context,openai-small:gpt-5.4-nano,document-extraction:v2-evidence-bound:markitdown,v2-evidence-bound,markitdown,MA-01,interactive,defendant or respondent names,False,0.0,"defendant or respondent names: missing (synthetic_document_ground_truth, confidence 0.99)"
production-context,openai-small:gpt-5.4-nano,document-extraction:v2-evidence-bound:markitdown,v2-evidence-bound,markitdown,MA-01,interactive,document date,False,0.0,"document date: missing (synthetic_document_ground_truth, confidence 0.99)"
production-context,openai-small:gpt-5.4-nano,document-extraction:v2-evidence-bound:markitdown,v2-evidence-bound,markitdown,MA-01,interactive,filing type,True,1.0,"filing type: matched (synthetic_semantic_label_unverified, confidence 0.65)"
production-context,openai-small:gpt-5.4-nano,document-extraction:v2-evidence-bound:markitdown,v2-evidence-bound,markitdown,MA-01,interactive,case category,True,1.0,"case category: matched (synthetic_semantic_label_unverified, confidence 0.65)"
production-context,openai-small:gpt-5.4-nano,document-extraction:v2-evidence-bound:markitdown,v2-evidence-bound,markitdown,MA-01,interactive,case type,False,0.0,"case type: unexpected value ""Complaint for Divorce"" (synthetic_semantic_label_unverified, confidence 0.65)"
production-context,openai-small:gpt-5.4-nano,document-extraction:v1-production:markitdown,v1-production,markitdown,MA-01,interactive,document title,True,1.0,"document title: matched (synthetic_document_ground_truth, confidence 0.99)"
production-context,openai-small:gpt-5.4-nano,document-extraction:v1-production:markitdown,v1-production,markitdown,MA-01,interactive,court,False,0.0,"court: unexpected value ""Probate and Family Court (Commonwealth of Massachusetts, The Trial Court)"" (synthetic_document_ground_truth, confidence 0.99)"
production-context,openai-small:gpt-5.4-nano,document-extraction:v1-production:markitdown,v1-production,markitdown,MA-01,interactive,case title,False,0.0,"case title: unexpected value ""CASE CAPTION"" (synthetic_document_ground_truth, confidence 0.99)"
production-context,openai-small:gpt-5.4-nano,document-extraction:v1-production:markitdown,v1-production,markitdown,MA-01,interactive,plaintiff or petitioner names,False,0.0,"plaintiff or petitioner names: unexpected value ""PLAINTIFF ADDRESS"" (synthetic_document_ground_truth, confidence 0.99)"
production-context,openai-small:gpt-5.4-nano,document-extraction:v1-production:markitdown,v1-production,markitdown,MA-01,interactive,defendant or respondent names,False,0.0,"defendant or respondent names: unexpected value ""DEFENDANT ADDRESS"" (synthetic_document_ground_truth, confidence 0.99)"
production-context,openai-small:gpt-5.4-nano,document-extraction:v1-production:markitdown,v1-production,markitdown,MA-01,interactive,document date,False,0.0,"document date: unexpected value ""DATE"" (synthetic_document_ground_truth, confidence 0.99)"
production-context,openai-small:gpt-5.4-nano,document-extraction:v1-production:markitdown,v1-production,markitdown,MA-01,interactive,filing type,True,1.0,"filing type: matched (synthetic_semantic_label_unverified, confidence 0.65)"
production-context,openai-small:gpt-5.4-nano,document-extraction:v1-production:markitdown,v1-production,markitdown,MA-01,interactive,case category,True,1.0,"case category: matched (synthetic_semantic_label_unverified, confidence 0.65)"
production-context,openai-small:gpt-5.4-nano,document-extraction:v1-production:markitdown,v1-production,markitdown,MA-01,interactive,case type,False,0.0,"case type: unexpected value ""Divorce under G.L. C. 208, § 1B"" (synthetic_semantic_label_unverified, confidence 0.65)"
production-context,openai-small:gpt-5.4-nano,document-extraction:v1-production:markitdown,v1-production,markitdown,MA-01,interactive,docket number,False,0.0,"docket number: unexpected field ""DOCKET / CASE NO."""
production-context,openai-large:gpt-5.4,document-extraction:v2-evidence-bound:markitdown,v2-evidence-bound,markitdown,MA-01,interactive,document title,True,1.0,"document title: matched (synthetic_document_ground_truth, confidence 0.99)"
production-context,openai-large:gpt-5.4,document-extraction:v2-evidence-bound:markitdown,v2-evidence-bound,markitdown,MA-01,interactive,court,False,0.0,"court: unexpected value ""COMMONWEALTH OF MASSACHUSETTS THE TRIAL COURT Probate and Family Court"" (synthetic_document_ground_truth, confidence 0.99)"
production-context,openai-large:gpt-5.4,document-extraction:v2-evidence-bound:markitdown,v2-evidence-bound,markitdown,MA-01,interactive,case title,False,0.0,"case title: missing (synthetic_document_ground_truth, confidence 0.99)"
production-context,openai-large:gpt-5.4,document-extraction:v2-evidence-bound:markitdown,v2-evidence-bound,markitdown,MA-01,interactive,plaintiff or petitioner names,False,0.0,"plaintiff or petitioner names: missing (synthetic_document_ground_truth, confidence 0.99)"
production-context,openai-large:gpt-5.4,document-extraction:v2-evidence-bound:markitdown,v2-evidence-bound,markitdown,MA-01,interactive,defendant or respondent names,False,0.0,"defendant or respondent names: missing (synthetic_document_ground_truth, confidence 0.99)"
production-context,openai-large:gpt-5.4,document-extraction:v2-evidence-bound:markitdown,v2-evidence-bound,markitdown,MA-01,interactive,document date,False,0.0,"document date: missing (synthetic_document_ground_truth, confidence 0.99)"
production-context,openai-large:gpt-5.4,document-extraction:v2-evidence-bound:markitdown,v2-evidence-bound,markitdown,MA-01,interactive,filing type,True,1.0,"filing type: matched (synthetic_semantic_label_unverified, confidence 0.65)"
production-context,openai-large:gpt-5.4,document-extraction:v2-evidence-bound:markitdown,v2-evidence-bound,markitdown,MA-01,interactive,case category,True,1.0,"case category: matched (synthetic_semantic_label_unverified, confidence 0.65)"
production-context,openai-large:gpt-5.4,document-extraction:v2-evidence-bound:markitdown,v2-evidence-bound,markitdown,MA-01,interactive,case type,True,1.0,"case type: matched (synthetic_semantic_label_unverified, confidence 0.65)"
production-context,openai-large:gpt-5.4,document-extraction:v1-production:markitdown,v1-production,markitdown,MA-01,interactive,document title,True,1.0,"document title: matched (synthetic_document_ground_truth, confidence 0.99)"
production-context,openai-large:gpt-5.4,document-extraction:v1-production:markitdown,v1-production,markitdown,MA-01,interactive,court,False,0.0,"court: unexpected value ""COMMONWEALTH OF MASSACHUSETTS, THE TRIAL COURT, Probate and Family Court"" (synthetic_document_ground_truth, confidence 0.99)"
