suite,eval_id,provider_id,provider_label,prompt_label,prompt_version,input_mode,case_id,variant,classification_level,score,passed,api_error,latency_ms,cost,prompt_tokens,completion_tokens,total_tokens
staged-taxonomy,eval-Eqx-2026-08-22T23:21:31,openai:chat:llama-4-maverick,meta-large:llama-4-maverick,taxonomy-classification:v1:evidence-only,v1,evidence-only,IL-02,flattened,case category,0.0,False,False,2781,0,793,573,1366
staged-taxonomy,eval-Eqx-2026-08-22T23:21:31,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,taxonomy-classification:v1:evidence-only,v1,evidence-only,IL-02,flattened,case category,1.0,True,False,1616,0.00032805000000000003,784,137,921
staged-taxonomy,eval-Eqx-2026-08-22T23:21:31,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,taxonomy-classification:v1:source-first-3-pages,v1,source-first-3-pages,IL-02,flattened,case category,1.0,True,False,1874,0.000378,1040,136,1176
staged-taxonomy,eval-Eqx-2026-08-22T23:21:31,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,taxonomy-classification:v1:evidence+source-first-3-pages,v1,evidence+source-first-3-pages,IL-02,flattened,case category,1.0,True,False,1645,0.00038785,1108,133,1241
staged-taxonomy,eval-Eqx-2026-08-22T23:21:31,openai:chat:gpt-5.4,openai-large:gpt-5.4,taxonomy-classification:v1:source-first-3-pages,v1,source-first-3-pages,IL-02,flattened,case category,1.0,True,False,2316,0.005345000000000001,1040,183,1223
staged-taxonomy,eval-Eqx-2026-08-22T23:21:31,openai:chat:gpt-5.4,openai-large:gpt-5.4,taxonomy-classification:v1:evidence-only,v1,evidence-only,IL-02,flattened,case category,1.0,True,False,2382,0.004540000000000001,784,172,956
staged-taxonomy,eval-Eqx-2026-08-22T23:21:31,openai:chat:gpt-5.4,openai-large:gpt-5.4,taxonomy-classification:v1:evidence+source-first-3-pages,v1,evidence+source-first-3-pages,IL-02,flattened,case category,1.0,True,False,2595,0.00508,1108,154,1262
staged-taxonomy,eval-Eqx-2026-08-22T23:21:31,openai:chat:mistral-large-3,mistral-large:mistral-large-3,taxonomy-classification:v1:source-first-3-pages,v1,source-first-3-pages,IL-02,flattened,case category,1.0,True,False,1981,0,1193,196,1389
staged-taxonomy,eval-Eqx-2026-08-22T23:21:31,openai:chat:mistral-large-3,mistral-large:mistral-large-3,taxonomy-classification:v1:evidence-only,v1,evidence-only,IL-02,flattened,case category,1.0,True,False,6487,0,882,150,1032
staged-taxonomy,eval-Eqx-2026-08-22T23:21:31,openai:chat:llama-4-maverick,meta-large:llama-4-maverick,taxonomy-classification:v1:source-first-3-pages,v1,source-first-3-pages,IL-02,flattened,case category,1.0,True,False,736,0,1046,131,1177
