suite,eval_id,provider_id,provider_label,prompt_label,prompt_version,input_mode,case_id,variant,classification_level,score,passed,api_error,latency_ms,cost,prompt_tokens,completion_tokens,total_tokens
classification,eval-fSA-2026-08-23T02:37:55,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,taxonomy-classification:v3:retrieval-shortlist,v3,retrieval-shortlist,MA-01,flattened,case category,1.0,True,False,2304,0.00028563000000000004,1256,175,1431
classification,eval-fSA-2026-08-23T02:37:55,openai:chat:mistral-large-3,mistral-large:mistral-large-3,taxonomy-classification:v3:retrieval-shortlist,v3,retrieval-shortlist,MA-01,flattened,case category,1.0,True,False,2712,0,1428,241,1669
classification,eval-fSA-2026-08-23T02:37:55,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,taxonomy-classification:v3:retrieval-shortlist,v3,retrieval-shortlist,MA-01,flattened,case type,1.0,True,False,1917,0.0004357,1066,178,1244
classification,eval-fSA-2026-08-23T02:37:55,openai:chat:mistral-large-3,mistral-large:mistral-large-3,taxonomy-classification:v3:retrieval-shortlist,v3,retrieval-shortlist,MA-01,flattened,case type,1.0,True,False,1645,0,1177,203,1380
classification,eval-fSA-2026-08-23T02:37:55,openai:chat:mistral-large-3,mistral-large:mistral-large-3,taxonomy-classification:v3:retrieval-shortlist,v3,retrieval-shortlist,MA-01,flattened,filing type,1.0,True,False,1740,0,1446,264,1710
classification,eval-fSA-2026-08-23T02:37:55,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,taxonomy-classification:v3:retrieval-shortlist,v3,retrieval-shortlist,MA-01,flattened,filing type,1.0,True,False,1950,0.0005221500000000001,1292,211,1503
classification,eval-fSA-2026-08-23T02:37:55,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,taxonomy-classification:v3:retrieval-shortlist,v3,retrieval-shortlist,MA-05,flattened,filing type,1.0,True,False,1559,0.00043410000000000003,1158,162,1320
classification,eval-fSA-2026-08-23T02:37:55,openai:chat:mistral-large-3,mistral-large:mistral-large-3,taxonomy-classification:v3:retrieval-shortlist,v3,retrieval-shortlist,MA-05,flattened,filing type,1.0,True,False,1916,0,1267,202,1469
classification,eval-fSA-2026-08-23T02:37:55,openai:chat:mistral-large-3,mistral-large:mistral-large-3,taxonomy-classification:v3:retrieval-shortlist,v3,retrieval-shortlist,MA-06,flattened,case type,1.0,True,False,1007,0,1204,149,1353
classification,eval-fSA-2026-08-23T02:37:55,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,taxonomy-classification:v3:retrieval-shortlist,v3,retrieval-shortlist,MA-06,flattened,case type,1.0,True,False,1768,0.0004488,1094,184,1278
