suite,eval_id,provider_id,provider_label,prompt_label,prompt_version,input_mode,case_id,variant,classification_level,score,passed,api_error,latency_ms,cost,prompt_tokens,completion_tokens,total_tokens
classification,eval-5r2-2026-08-23T02:40:17,openai:chat:mistral-large-3,mistral-large:mistral-large-3,taxonomy-classification:v2:role-rubric,v2,role-rubric,MA-01,flattened,case category,0.3,False,False,1571,0,1216,225,1441
classification,eval-5r2-2026-08-23T02:40:17,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,taxonomy-classification:v2:role-rubric,v2,role-rubric,MA-01,flattened,case category,1.0,True,False,1856,0.00043505000000000003,1069,177,1246
classification,eval-5r2-2026-08-23T02:40:17,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,taxonomy-classification:v2:role-rubric,v2,role-rubric,MA-01,flattened,case type,1.0,True,False,1973,0.00040845000000000003,886,185,1071
classification,eval-5r2-2026-08-23T02:40:17,openai:chat:mistral-large-3,mistral-large:mistral-large-3,taxonomy-classification:v2:role-rubric,v2,role-rubric,MA-01,flattened,case type,1.0,True,False,5704,0,975,202,1177
classification,eval-5r2-2026-08-23T02:40:17,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,taxonomy-classification:v2:role-rubric,v2,role-rubric,MA-01,flattened,filing type,1.0,True,False,2086,0.00028738000000000006,1271,174,1445
classification,eval-5r2-2026-08-23T02:40:17,openai:chat:mistral-large-3,mistral-large:mistral-large-3,taxonomy-classification:v2:role-rubric,v2,role-rubric,MA-01,flattened,filing type,1.0,True,False,1332,0,1437,239,1676
classification,eval-5r2-2026-08-23T02:40:17,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,taxonomy-classification:v2:role-rubric,v2,role-rubric,MA-05,flattened,filing type,1.0,True,False,1687,0.00023388000000000003,1166,148,1314
classification,eval-5r2-2026-08-23T02:40:17,openai:chat:mistral-large-3,mistral-large:mistral-large-3,taxonomy-classification:v2:role-rubric,v2,role-rubric,MA-05,flattened,filing type,1.0,True,False,2608,0,1309,189,1498
classification,eval-5r2-2026-08-23T02:40:17,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,taxonomy-classification:v2:role-rubric,v2,role-rubric,MA-06,flattened,case type,1.0,True,False,1955,0.00040760000000000004,913,180,1093
classification,eval-5r2-2026-08-23T02:40:17,openai:chat:mistral-large-3,mistral-large:mistral-large-3,taxonomy-classification:v2:role-rubric,v2,role-rubric,MA-06,flattened,case type,1.0,True,False,1059,0,1010,135,1145
classification,eval-5r2-2026-08-23T02:40:17,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,taxonomy-classification:v2:role-rubric,v2,role-rubric,MA-06,flattened,filing type,1.0,True,False,2163,0.00030785000000000003,1560,181,1741
classification,eval-5r2-2026-08-23T02:40:17,openai:chat:mistral-large-3,mistral-large:mistral-large-3,taxonomy-classification:v2:role-rubric,v2,role-rubric,MA-06,flattened,filing type,1.0,True,False,2444,0,1763,202,1965
classification,eval-5r2-2026-08-23T02:40:17,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,taxonomy-classification:v2:role-rubric,v2,role-rubric,VT-01,flattened,case category,1.0,True,False,1918,0.00039080000000000007,954,160,1114
classification,eval-5r2-2026-08-23T02:40:17,openai:chat:mistral-large-3,mistral-large:mistral-large-3,taxonomy-classification:v2:role-rubric,v2,role-rubric,VT-01,flattened,case category,1.0,True,False,1919,0,1053,166,1219
classification,eval-5r2-2026-08-23T02:40:17,openai:chat:mistral-large-3,mistral-large:mistral-large-3,taxonomy-classification:v2:role-rubric,v2,role-rubric,VT-01,flattened,case type,0.3,False,False,1420,0,1557,238,1795
classification,eval-5r2-2026-08-23T02:40:17,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,taxonomy-classification:v2:role-rubric,v2,role-rubric,VT-01,flattened,case type,1.0,True,False,2049,0.0003791300000000001,1386,229,1615
classification,eval-5r2-2026-08-23T02:40:17,openai:chat:mistral-large-3,mistral-large:mistral-large-3,taxonomy-classification:v2:role-rubric,v2,role-rubric,VT-01,flattened,filing type,1.0,True,False,1752,0,4361,239,4600
classification,eval-5r2-2026-08-23T02:40:17,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,taxonomy-classification:v2:role-rubric,v2,role-rubric,VT-01,flattened,filing type,1.0,True,False,2221,0.00033198000000000006,3773,178,3951
classification,eval-5r2-2026-08-23T02:40:17,openai:chat:mistral-large-3,mistral-large:mistral-large-3,taxonomy-classification:v2:role-rubric,v2,role-rubric,VT-03,flattened,case type,1.0,True,False,1197,0,2535,211,2746
classification,eval-5r2-2026-08-23T02:40:17,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,taxonomy-classification:v2:role-rubric,v2,role-rubric,VT-03,flattened,case type,1.0,True,False,2522,0.00043769,2170,261,2431
classification,eval-5r2-2026-08-23T02:40:17,openai:chat:mistral-large-3,mistral-large:mistral-large-3,taxonomy-classification:v2:role-rubric,v2,role-rubric,VT-03,flattened,filing type,0.2,False,False,12627,0,3016,246,3262
classification,eval-5r2-2026-08-23T02:40:17,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,taxonomy-classification:v2:role-rubric,v2,role-rubric,VT-03,flattened,filing type,1.0,True,False,1907,0.00035433000000000003,2614,197,2811
classification,eval-5r2-2026-08-23T02:40:17,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,taxonomy-classification:v2:role-rubric,v2,role-rubric,VT-06,flattened,filing type,1.0,True,False,3843,0.00033562,2925,206,3131
classification,eval-5r2-2026-08-23T02:40:17,openai:chat:mistral-large-3,mistral-large:mistral-large-3,taxonomy-classification:v2:role-rubric,v2,role-rubric,VT-06,flattened,filing type,1.0,True,False,2511,0,3363,205,3568
classification,eval-5r2-2026-08-23T02:40:17,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,taxonomy-classification:v2:role-rubric,v2,role-rubric,IL-02,flattened,case category,1.0,True,False,2219,0.00048660000000000006,1233,192,1425
classification,eval-5r2-2026-08-23T02:40:17,openai:chat:mistral-large-3,mistral-large:mistral-large-3,taxonomy-classification:v2:role-rubric,v2,role-rubric,IL-02,flattened,case category,1.0,True,False,2304,0,1393,181,1574
classification,eval-5r2-2026-08-23T02:40:17,openai:chat:mistral-large-3,mistral-large:mistral-large-3,taxonomy-classification:v2:role-rubric,v2,role-rubric,IL-02,flattened,case type,1.0,True,False,1431,0,1106,171,1277
classification,eval-5r2-2026-08-23T02:40:17,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,taxonomy-classification:v2:role-rubric,v2,role-rubric,IL-02,flattened,case type,1.0,True,False,2118,0.00040520000000000004,1001,164,1165
classification,eval-5r2-2026-08-23T02:40:17,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,taxonomy-classification:v2:role-rubric,v2,role-rubric,IL-02,flattened,filing type,1.0,True,False,1496,0.0003333,1581,198,1779
classification,eval-5r2-2026-08-23T02:40:17,openai:chat:mistral-large-3,mistral-large:mistral-large-3,taxonomy-classification:v2:role-rubric,v2,role-rubric,IL-02,flattened,filing type,1.0,True,False,1678,0,1841,191,2032
classification,eval-5r2-2026-08-23T02:40:17,openai:chat:mistral-large-3,mistral-large:mistral-large-3,taxonomy-classification:v2:role-rubric,v2,role-rubric,IL-04,flattened,case type,1.0,True,False,1789,0,1792,215,2007
classification,eval-5r2-2026-08-23T02:40:17,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,taxonomy-classification:v2:role-rubric,v2,role-rubric,IL-04,flattened,case type,1.0,True,False,2723,0.00046150000000000005,1522,310,1832
classification,eval-5r2-2026-08-23T02:40:17,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,taxonomy-classification:v2:role-rubric,v2,role-rubric,IL-08,flattened,case category,1.0,True,False,2606,0.00053905,1214,237,1451
classification,eval-5r2-2026-08-23T02:40:17,openai:chat:mistral-large-3,mistral-large:mistral-large-3,taxonomy-classification:v2:role-rubric,v2,role-rubric,IL-08,flattened,case category,1.0,True,False,2458,0,1395,174,1569
