suite,eval_id,provider_id,provider_label,prompt_label,prompt_version,input_mode,case_id,variant,classification_level,score,passed,api_error,latency_ms,cost,prompt_tokens,completion_tokens,total_tokens
staged-taxonomy,eval-rq3-2026-08-22T23:25:41,openai:chat:llama-4-maverick,meta-large:llama-4-maverick,taxonomy-classification:v1:evidence-only,v1,evidence-only,IL-02,flattened,case category,0.0,False,False,3054,0,793,630,1423
staged-taxonomy,eval-rq3-2026-08-22T23:25:41,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,taxonomy-classification:v1:evidence-only,v1,evidence-only,IL-02,flattened,case category,1.0,True,False,1576,0.00032055000000000007,784,131,915
staged-taxonomy,eval-rq3-2026-08-22T23:25:41,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,taxonomy-classification:v1:source-first-3-pages,v1,source-first-3-pages,IL-02,flattened,case category,1.0,True,False,2018,0.00037175,1040,131,1171
staged-taxonomy,eval-rq3-2026-08-22T23:25:41,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,taxonomy-classification:v1:evidence+source-first-3-pages,v1,evidence+source-first-3-pages,IL-02,flattened,case category,1.0,True,False,1407,0.00038410000000000007,1108,130,1238
staged-taxonomy,eval-rq3-2026-08-22T23:25:41,openai:chat:gpt-5.4,openai-large:gpt-5.4,taxonomy-classification:v1:source-first-3-pages,v1,source-first-3-pages,IL-02,flattened,case category,1.0,True,False,1911,0.005405,1040,187,1227
staged-taxonomy,eval-rq3-2026-08-22T23:25:41,openai:chat:gpt-5.4,openai-large:gpt-5.4,taxonomy-classification:v1:evidence+source-first-3-pages,v1,evidence+source-first-3-pages,IL-02,flattened,case category,1.0,True,False,1864,0.005215000000000001,1108,163,1271
staged-taxonomy,eval-rq3-2026-08-22T23:25:41,openai:chat:gpt-5.4,openai-large:gpt-5.4,taxonomy-classification:v1:evidence-only,v1,evidence-only,IL-02,flattened,case category,1.0,True,False,3523,0.004240000000000001,784,152,936
staged-taxonomy,eval-rq3-2026-08-22T23:25:41,openai:chat:mistral-large-3,mistral-large:mistral-large-3,taxonomy-classification:v1:source-first-3-pages,v1,source-first-3-pages,IL-02,flattened,case category,1.0,True,False,2421,0,1193,196,1389
staged-taxonomy,eval-rq3-2026-08-22T23:25:41,openai:chat:mistral-large-3,mistral-large:mistral-large-3,taxonomy-classification:v1:evidence-only,v1,evidence-only,IL-02,flattened,case category,1.0,True,False,2132,0,882,149,1031
staged-taxonomy,eval-rq3-2026-08-22T23:25:41,openai:chat:llama-4-maverick,meta-large:llama-4-maverick,taxonomy-classification:v1:source-first-3-pages,v1,source-first-3-pages,IL-02,flattened,case category,1.0,True,False,692,0,1046,131,1177
