suite,provider_label,prompt_label,prompt_version,input_mode,case_id,variant,classification_level,field,passed,score,reason
sentinel-text,openai-small:gpt-5.4-nano,document-extraction:v1-production,v1-production,,MA-01,interactive,,form name,False,0.0,"form name: unexpected value ""COMPLAINT FOR DIVORCE PURSUANT TO G.L. c. 208 § 1B"" (synthetic_document_ground_truth, confidence 0.99)"
sentinel-text,openai-small:gpt-5.4-nano,document-extraction:v1-production,v1-production,,MA-01,interactive,,form identifier,False,0.0,"form identifier: unexpected value ""CJ-D 101B"" (synthetic_document_ground_truth, confidence 0.99)"
sentinel-text,openai-small:gpt-5.4-nano,document-extraction:v1-production,v1-production,,MA-01,interactive,,document title,False,0.0,"document title: missing (synthetic_document_ground_truth, confidence 0.99)"
sentinel-text,openai-small:gpt-5.4-nano,document-extraction:v1-production,v1-production,,MA-01,interactive,,court,False,0.0,"court: unexpected value ""Probate and Family Court Department"" (synthetic_document_ground_truth, confidence 0.99)"
sentinel-text,openai-small:gpt-5.4-nano,document-extraction:v1-production,v1-production,,MA-01,interactive,,case title,False,0.0,"case title: missing (synthetic_document_ground_truth, confidence 0.99)"
sentinel-text,openai-small:gpt-5.4-nano,document-extraction:v1-production,v1-production,,MA-01,interactive,,plaintiff or petitioner names,False,0.0,"plaintiff or petitioner names: missing (synthetic_document_ground_truth, confidence 0.99)"
sentinel-text,openai-small:gpt-5.4-nano,document-extraction:v1-production,v1-production,,MA-01,interactive,,defendant or respondent names,False,0.0,"defendant or respondent names: missing (synthetic_document_ground_truth, confidence 0.99)"
sentinel-text,openai-small:gpt-5.4-nano,document-extraction:v1-production,v1-production,,MA-01,interactive,,document date,False,0.0,"document date: missing (synthetic_document_ground_truth, confidence 0.99)"
sentinel-text,openai-small:gpt-5.4-nano,document-extraction:v1-production,v1-production,,MA-01,interactive,,filing type,False,0.0,"filing type: unexpected value ""COMPLAINT FOR DIVORCE PURSUANT TO G.L. c. 208 § 1B"" (verified_live_crosswalk_supported, confidence 0.98)"
sentinel-text,openai-small:gpt-5.4-nano,document-extraction:v1-production,v1-production,,MA-01,interactive,,case category,False,0.0,"case category: unexpected value ""Probate and Family Court Department"" (verified_live_crosswalk_supported, confidence 0.98)"
sentinel-text,openai-small:gpt-5.4-nano,document-extraction:v1-production,v1-production,,MA-01,interactive,,case type,True,1.0,"case type: matched (verified_live_crosswalk_supported, confidence 0.98)"
sentinel-text,openai-small:gpt-5.4-nano,document-extraction:v1-production,v1-production,,MA-01,interactive,,form revision,False,0.0,"form revision: unexpected field ""4/07"""
sentinel-text,openai-small:gpt-5.4-nano,document-extraction:v2-evidence-bound,v2-evidence-bound,,MA-01,interactive,,form name,False,0.0,"form name: unexpected value ""COMPLAINT FOR DIVORCE PURSUANT TO G.L. c. 208 § 1B"" (synthetic_document_ground_truth, confidence 0.99)"
sentinel-text,openai-small:gpt-5.4-nano,document-extraction:v2-evidence-bound,v2-evidence-bound,,MA-01,interactive,,form identifier,False,0.0,"form identifier: unexpected value ""CJ-D 101B"" (synthetic_document_ground_truth, confidence 0.99)"
sentinel-text,openai-small:gpt-5.4-nano,document-extraction:v2-evidence-bound,v2-evidence-bound,,MA-01,interactive,,document title,True,1.0,"document title: matched (synthetic_document_ground_truth, confidence 0.99)"
sentinel-text,openai-small:gpt-5.4-nano,document-extraction:v2-evidence-bound,v2-evidence-bound,,MA-01,interactive,,court,False,0.0,"court: unexpected value ""Probate and Family Court Department"" (synthetic_document_ground_truth, confidence 0.99)"
sentinel-text,openai-small:gpt-5.4-nano,document-extraction:v2-evidence-bound,v2-evidence-bound,,MA-01,interactive,,case title,False,0.0,"case title: missing (synthetic_document_ground_truth, confidence 0.99)"
sentinel-text,openai-small:gpt-5.4-nano,document-extraction:v2-evidence-bound,v2-evidence-bound,,MA-01,interactive,,plaintiff or petitioner names,False,0.0,"plaintiff or petitioner names: missing (synthetic_document_ground_truth, confidence 0.99)"
sentinel-text,openai-small:gpt-5.4-nano,document-extraction:v2-evidence-bound,v2-evidence-bound,,MA-01,interactive,,defendant or respondent names,False,0.0,"defendant or respondent names: missing (synthetic_document_ground_truth, confidence 0.99)"
sentinel-text,openai-small:gpt-5.4-nano,document-extraction:v2-evidence-bound,v2-evidence-bound,,MA-01,interactive,,document date,False,0.0,"document date: missing (synthetic_document_ground_truth, confidence 0.99)"
sentinel-text,openai-small:gpt-5.4-nano,document-extraction:v2-evidence-bound,v2-evidence-bound,,MA-01,interactive,,filing type,False,0.0,"filing type: unexpected value ""COMPLAINT FOR DIVORCE PURSUANT TO G.L. c. 208 § 1B"" (verified_live_crosswalk_supported, confidence 0.98)"
sentinel-text,openai-small:gpt-5.4-nano,document-extraction:v2-evidence-bound,v2-evidence-bound,,MA-01,interactive,,case category,False,0.0,"case category: unexpected value ""Probate and Family Court"" (verified_live_crosswalk_supported, confidence 0.98)"
sentinel-text,openai-small:gpt-5.4-nano,document-extraction:v2-evidence-bound,v2-evidence-bound,,MA-01,interactive,,case type,True,1.0,"case type: matched (verified_live_crosswalk_supported, confidence 0.98)"
sentinel-text,openai-small:gpt-5.4-nano,document-extraction:v2-evidence-bound,v2-evidence-bound,,MA-01,interactive,,form revision,False,0.0,"form revision: unexpected field ""4/07"""
sentinel-text,openai-large:gpt-5.4,document-extraction:v1-production,v1-production,,MA-01,interactive,,form name,False,0.0,"form name: unexpected value ""COMPLAINT FOR DIVORCE PURSUANT TO G.L. c. 208 § 1B"" (synthetic_document_ground_truth, confidence 0.99)"
sentinel-text,openai-large:gpt-5.4,document-extraction:v1-production,v1-production,,MA-01,interactive,,form identifier,False,0.0,"form identifier: unexpected value ""CJ-D 101B"" (synthetic_document_ground_truth, confidence 0.99)"
sentinel-text,openai-large:gpt-5.4,document-extraction:v1-production,v1-production,,MA-01,interactive,,document title,True,1.0,"document title: matched (synthetic_document_ground_truth, confidence 0.99)"
sentinel-text,openai-large:gpt-5.4,document-extraction:v1-production,v1-production,,MA-01,interactive,,court,False,0.0,"court: unexpected value ""Probate and Family Court Department, The Trial Court, Commonwealth of Massachusetts"" (synthetic_document_ground_truth, confidence 0.99)"
sentinel-text,openai-large:gpt-5.4,document-extraction:v1-production,v1-production,,MA-01,interactive,,case title,False,0.0,"case title: missing (synthetic_document_ground_truth, confidence 0.99)"
sentinel-text,openai-large:gpt-5.4,document-extraction:v1-production,v1-production,,MA-01,interactive,,plaintiff or petitioner names,False,0.0,"plaintiff or petitioner names: missing (synthetic_document_ground_truth, confidence 0.99)"
sentinel-text,openai-large:gpt-5.4,document-extraction:v1-production,v1-production,,MA-01,interactive,,defendant or respondent names,False,0.0,"defendant or respondent names: missing (synthetic_document_ground_truth, confidence 0.99)"
sentinel-text,openai-large:gpt-5.4,document-extraction:v1-production,v1-production,,MA-01,interactive,,document date,False,0.0,"document date: missing (synthetic_document_ground_truth, confidence 0.99)"
sentinel-text,openai-large:gpt-5.4,document-extraction:v1-production,v1-production,,MA-01,interactive,,filing type,False,0.0,"filing type: unexpected value ""Complaint for Divorce Pursuant to G.L. c. 208 § 1B"" (verified_live_crosswalk_supported, confidence 0.98)"
sentinel-text,openai-large:gpt-5.4,document-extraction:v1-production,v1-production,,MA-01,interactive,,case category,False,0.0,"case category: unexpected value ""Probate and Family Court Department"" (verified_live_crosswalk_supported, confidence 0.98)"
sentinel-text,openai-large:gpt-5.4,document-extraction:v1-production,v1-production,,MA-01,interactive,,case type,True,1.0,"case type: matched (verified_live_crosswalk_supported, confidence 0.98)"
sentinel-text,openai-large:gpt-5.4,document-extraction:v1-production,v1-production,,MA-01,interactive,,form revision,False,0.0,"form revision: unexpected field ""(4/07)"""
sentinel-text,openai-large:gpt-5.4,document-extraction:v2-evidence-bound,v2-evidence-bound,,MA-01,interactive,,form name,False,0.0,"form name: unexpected value ""COMPLAINT FOR DIVORCE PURSUANT TO G.L. c. 208 § 1B"" (synthetic_document_ground_truth, confidence 0.99)"
