suite,eval_id,provider_id,provider_label,prompt_label,prompt_version,input_mode,case_id,variant,classification_level,score,passed,api_error,latency_ms,cost,prompt_tokens,completion_tokens,total_tokens
sentinel-text,eval-VDB-2026-08-24T14:38:48,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,document-extraction:v1-production,v1-production,,MA-01,interactive,,0.07254556752278377,False,False,3157,0.000504,970,248,1218
sentinel-text,eval-VDB-2026-08-24T14:38:48,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,document-extraction:v2-evidence-bound,v2-evidence-bound,,MA-01,interactive,,0.14553127589063794,False,False,7348,0.0007350500000000001,1144,405,1549
sentinel-text,eval-VDB-2026-08-24T14:38:48,openai:chat:gpt-5.4,openai-large:gpt-5.4,document-extraction:v1-production,v1-production,,MA-01,interactive,,0.14553127589063794,False,False,4214,0.007015,970,306,1276
sentinel-text,eval-VDB-2026-08-24T14:38:48,openai:chat:gpt-5.4,openai-large:gpt-5.4,document-extraction:v2-evidence-bound,v2-evidence-bound,,MA-01,interactive,,0.14553127589063794,False,False,4875,0.00817,1144,354,1498
sentinel-text,eval-VDB-2026-08-24T14:38:48,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,document-extraction:v1-production,v1-production,,MA-01,flattened,,0.06694332662642521,False,False,1980,0.00042750000000000004,1025,178,1203
sentinel-text,eval-VDB-2026-08-24T14:38:48,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,document-extraction:v2-evidence-bound,v2-evidence-bound,,MA-01,flattened,,0.13670774647887324,False,False,6576,0.0008648,1199,500,1699
sentinel-text,eval-VDB-2026-08-24T14:38:48,openai:chat:gpt-5.4,openai-large:gpt-5.4,document-extraction:v1-production,v1-production,,MA-01,flattened,,0.13670774647887324,False,False,13687,0.014247500000000001,1025,779,1804
sentinel-text,eval-VDB-2026-08-24T14:38:48,openai:chat:gpt-5.4,openai-large:gpt-5.4,document-extraction:v2-evidence-bound,v2-evidence-bound,,MA-01,flattened,,0.3563184663536776,False,False,12252,0.0168425,1199,923,2122
sentinel-text,eval-VDB-2026-08-24T14:38:48,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,document-extraction:v1-production,v1-production,,VT-06,flattened,,0.32879236590983874,False,False,2957,0.0005742,971,304,1275
sentinel-text,eval-VDB-2026-08-24T14:38:48,openai:chat:gpt-5.4,openai-large:gpt-5.4,document-extraction:v1-production,v1-production,,VT-06,flattened,,0.32879236590983874,False,False,4209,0.0062675000000000005,971,256,1227
sentinel-text,eval-VDB-2026-08-24T14:38:48,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,document-extraction:v2-evidence-bound,v2-evidence-bound,,VT-06,flattened,,0.32045903257650543,False,False,5831,0.0007468500000000001,1153,413,1566
sentinel-text,eval-VDB-2026-08-24T14:38:48,openai:chat:gpt-5.4,openai-large:gpt-5.4,document-extraction:v2-evidence-bound,v2-evidence-bound,,VT-06,flattened,,0.32045903257650543,False,False,3385,0.007022500000000001,1153,276,1429
sentinel-text,eval-VDB-2026-08-24T14:38:48,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,document-extraction:v1-production,v1-production,,IL-04,flattened,,0.5239239926739927,False,False,3487,0.0007032000000000001,1366,344,1710
sentinel-text,eval-VDB-2026-08-24T14:38:48,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,document-extraction:v2-evidence-bound,v2-evidence-bound,,IL-04,flattened,,0.7247023809523809,True,False,5448,0.00087405,1764,417,2181
sentinel-text,eval-VDB-2026-08-24T14:38:48,openai:chat:gpt-5.4,openai-large:gpt-5.4,document-extraction:v1-production,v1-production,,IL-04,flattened,,0.7247023809523809,True,False,5675,0.008335,1366,328,1694
sentinel-text,eval-VDB-2026-08-24T14:38:48,openai:chat:gpt-5.4,openai-large:gpt-5.4,document-extraction:v2-evidence-bound,v2-evidence-bound,,IL-04,flattened,,0.8154761904761905,True,False,5812,0.0108,1764,426,2190
sentinel-text,eval-VDB-2026-08-24T14:38:48,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,document-extraction:v1-production,v1-production,,IL-08,flattened,,0.235,False,False,1829,0.00063515,2657,83,2740
sentinel-text,eval-VDB-2026-08-24T14:38:48,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,document-extraction:v2-evidence-bound,v2-evidence-bound,,IL-08,flattened,,0.49125,False,False,7139,0.0013360000000000002,3055,580,3635
sentinel-text,eval-VDB-2026-08-24T14:38:48,openai:chat:gpt-5.4,openai-large:gpt-5.4,document-extraction:v1-production,v1-production,,IL-08,flattened,,0.532878787878788,False,False,7728,0.013812500000000002,2657,478,3135
sentinel-text,eval-VDB-2026-08-24T14:38:48,openai:chat:gpt-5.4,openai-large:gpt-5.4,document-extraction:v2-evidence-bound,v2-evidence-bound,,IL-08,flattened,,0.5804166666666667,False,False,6715,0.0147325,3055,473,3528
sentinel-text,eval-VDB-2026-08-24T14:38:48,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,document-extraction:v1-production,v1-production,,IL-10,motion-facsimile,,0.3079595319356412,False,False,1331,0.0005308,2204,72,2276
