suite,eval_id,provider_id,provider_label,prompt_label,prompt_version,input_mode,case_id,variant,classification_level,score,passed,api_error,latency_ms,cost,prompt_tokens,completion_tokens,total_tokens
staged-taxonomy,eval-j8K-2026-08-22T23:16:10,openai:chat:llama-4-maverick,meta-large:llama-4-maverick,taxonomy-classification:v1:evidence-only,v1,evidence-only,IL-02,flattened,case category,0.0,False,False,3769,0,793,578,1371
staged-taxonomy,eval-j8K-2026-08-22T23:16:10,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,taxonomy-classification:v1:evidence-only,v1,evidence-only,IL-02,flattened,case category,1.0,True,False,2018,0.0003168,784,128,912
staged-taxonomy,eval-j8K-2026-08-22T23:16:10,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,taxonomy-classification:v1:source-first-3-pages,v1,source-first-3-pages,IL-02,flattened,case category,1.0,True,False,2140,0.00037675,1040,135,1175
staged-taxonomy,eval-j8K-2026-08-22T23:16:10,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,taxonomy-classification:v1:evidence+source-first-3-pages,v1,evidence+source-first-3-pages,IL-02,flattened,case category,1.0,True,False,1476,0.00038160000000000006,1108,128,1236
staged-taxonomy,eval-j8K-2026-08-22T23:16:10,openai:chat:gpt-5.4,openai-large:gpt-5.4,taxonomy-classification:v1:source-first-3-pages,v1,source-first-3-pages,IL-02,flattened,case category,1.0,True,False,2241,0.005090000000000001,1040,166,1206
staged-taxonomy,eval-j8K-2026-08-22T23:16:10,openai:chat:gpt-5.4,openai-large:gpt-5.4,taxonomy-classification:v1:evidence-only,v1,evidence-only,IL-02,flattened,case category,1.0,True,False,4698,0.004150000000000001,784,146,930
staged-taxonomy,eval-j8K-2026-08-22T23:16:10,openai:chat:gpt-5.4,openai-large:gpt-5.4,taxonomy-classification:v1:evidence+source-first-3-pages,v1,evidence+source-first-3-pages,IL-02,flattened,case category,1.0,True,False,4248,0.00562,1108,190,1298
staged-taxonomy,eval-j8K-2026-08-22T23:16:10,openai:chat:mistral-large-3,mistral-large:mistral-large-3,taxonomy-classification:v1:evidence-only,v1,evidence-only,IL-02,flattened,case category,1.0,True,False,3295,0,882,150,1032
staged-taxonomy,eval-j8K-2026-08-22T23:16:10,openai:chat:mistral-large-3,mistral-large:mistral-large-3,taxonomy-classification:v1:source-first-3-pages,v1,source-first-3-pages,IL-02,flattened,case category,1.0,True,False,3795,0,1193,196,1389
staged-taxonomy,eval-j8K-2026-08-22T23:16:10,openai:chat:mistral-large-3,mistral-large:mistral-large-3,taxonomy-classification:v1:evidence+source-first-3-pages,v1,evidence+source-first-3-pages,IL-02,flattened,case category,1.0,True,False,1249,0,1268,159,1427
