suite,eval_id,provider_id,provider_label,prompt_label,prompt_version,input_mode,case_id,variant,classification_level,score,passed,api_error,latency_ms,cost,prompt_tokens,completion_tokens,total_tokens
classification,eval-eLL-2026-08-23T02:42:02,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,taxonomy-classification:v3:retrieval-shortlist,v3,retrieval-shortlist,MA-01,flattened,case category,1.0,True,False,2074,0.00028118,1240,174,1414
classification,eval-eLL-2026-08-23T02:42:02,openai:chat:mistral-large-3,mistral-large:mistral-large-3,taxonomy-classification:v3:retrieval-shortlist,v3,retrieval-shortlist,MA-01,flattened,case category,1.0,True,False,2105,0,1407,218,1625
classification,eval-eLL-2026-08-23T02:42:02,openai:chat:mistral-large-3,mistral-large:mistral-large-3,taxonomy-classification:v3:retrieval-shortlist,v3,retrieval-shortlist,MA-01,flattened,case type,1.0,True,False,1518,0,1165,219,1384
classification,eval-eLL-2026-08-23T02:42:02,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,taxonomy-classification:v3:retrieval-shortlist,v3,retrieval-shortlist,MA-01,flattened,case type,1.0,True,False,1954,0.00047015,1057,207,1264
classification,eval-eLL-2026-08-23T02:42:02,openai:chat:mistral-large-3,mistral-large:mistral-large-3,taxonomy-classification:v3:retrieval-shortlist,v3,retrieval-shortlist,MA-01,flattened,filing type,1.0,True,False,1611,0,1446,266,1712
classification,eval-eLL-2026-08-23T02:42:02,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,taxonomy-classification:v3:retrieval-shortlist,v3,retrieval-shortlist,MA-01,flattened,filing type,1.0,True,False,2548,0.00031783,1292,195,1487
classification,eval-eLL-2026-08-23T02:42:02,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,taxonomy-classification:v3:retrieval-shortlist,v3,retrieval-shortlist,MA-05,flattened,filing type,1.0,True,False,1629,0.00026103000000000004,1158,171,1329
classification,eval-eLL-2026-08-23T02:42:02,openai:chat:mistral-large-3,mistral-large:mistral-large-3,taxonomy-classification:v3:retrieval-shortlist,v3,retrieval-shortlist,MA-05,flattened,filing type,1.0,True,False,2428,0,1267,210,1477
classification,eval-eLL-2026-08-23T02:42:02,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,taxonomy-classification:v3:retrieval-shortlist,v3,retrieval-shortlist,MA-06,flattened,case type,1.0,True,False,1971,0.00046995,1081,203,1284
classification,eval-eLL-2026-08-23T02:42:02,openai:chat:mistral-large-3,mistral-large:mistral-large-3,taxonomy-classification:v3:retrieval-shortlist,v3,retrieval-shortlist,MA-06,flattened,case type,1.0,True,False,3327,0,1185,154,1339
