suite,eval_id,provider_id,provider_label,prompt_label,prompt_version,input_mode,case_id,variant,score,passed,api_error,latency_ms,cost,prompt_tokens,completion_tokens,total_tokens
production-context,eval-PLg-2026-08-22T19:57:32,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,document-extraction:v2-evidence-bound:markitdown,v2-evidence-bound,markitdown,MA-01,interactive,0.2814840419403157,False,False,3324,0.000415,600,236,836
production-context,eval-PLg-2026-08-22T19:57:32,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,document-extraction:v1-production:markitdown,v1-production,markitdown,MA-01,interactive,0.2302219904648391,False,False,3420,0.0005299,437,354,791
production-context,eval-PLg-2026-08-22T19:57:32,openai:chat:gpt-5.4,openai-large:gpt-5.4,document-extraction:v2-evidence-bound:markitdown,v2-evidence-bound,markitdown,MA-01,interactive,0.38631178707224334,False,False,2816,0.00423,600,182,782
production-context,eval-PLg-2026-08-22T19:57:32,openai:chat:gpt-5.4,openai-large:gpt-5.4,document-extraction:v1-production:markitdown,v1-production,markitdown,MA-01,interactive,0.38631178707224334,False,False,5604,0.0044225,437,222,659
production-context,eval-PLg-2026-08-22T19:57:32,openai:chat:gpt-4o-mini,openai-small:gpt-4o-mini,document-extraction:v1-production:markitdown,v1-production,markitdown,MA-01,interactive,0.16440206595152962,False,False,1282,0.0001437,438,130,568
production-context,eval-PLg-2026-08-22T19:57:32,openai:chat:gpt-4o-mini,openai-small:gpt-4o-mini,document-extraction:v2-evidence-bound:markitdown,v2-evidence-bound,markitdown,MA-01,interactive,0.38631178707224334,False,False,1718,0.00016395,601,123,724
production-context,eval-PLg-2026-08-22T19:57:32,openai:chat:gpt-4o-mini,openai-small:gpt-4o-mini,document-extraction:v1-production:markitdown+fields,v1-production,markitdown+fields,MA-01,interactive,0.40388768898488125,False,False,2550,0.00034754999999999996,1269,262,1531
production-context,eval-PLg-2026-08-22T19:57:32,openai:chat:gpt-4o,openai-large:gpt-4o,document-extraction:v1-production:markitdown,v1-production,markitdown,MA-01,interactive,0.2814840419403157,False,False,1121,0.001755,438,66,504
production-context,eval-PLg-2026-08-22T19:57:32,openai:chat:gpt-4o,openai-large:gpt-4o,document-extraction:v2-evidence-bound:markitdown,v2-evidence-bound,markitdown,MA-01,interactive,0.38631178707224334,False,False,911,0.0026125000000000002,601,111,712
production-context,eval-PLg-2026-08-22T19:57:32,openai:chat:benchmark-llama-4-scout,meta-small:llama-4-scout,document-extraction:v2-evidence-bound:markitdown,v2-evidence-bound,markitdown,MA-01,interactive,0.38631178707224334,False,False,1387,0,600,114,714
production-context,eval-PLg-2026-08-22T19:57:32,openai:chat:benchmark-llama-4-scout,meta-small:llama-4-scout,document-extraction:v1-production:markitdown,v1-production,markitdown,MA-01,interactive,0.0,False,False,4118,0,436,332,768
production-context,eval-PLg-2026-08-22T19:57:32,openai:chat:benchmark-llama-4-scout,meta-small:llama-4-scout,document-extraction:v1-production:markitdown+fields,v1-production,markitdown+fields,MA-01,interactive,0.0,False,False,4640,0,1267,279,1546
production-context,eval-PLg-2026-08-22T19:57:32,openai:chat:benchmark-llama-4-scout,meta-small:llama-4-scout,document-extraction:v1-production:vision+markitdown+fields,v1-production,vision+markitdown+fields,MA-01,interactive,0.0,False,False,1933,0,3786,113,3899
production-context,eval-PLg-2026-08-22T19:57:32,openai:chat:llama-4-maverick,meta-large:llama-4-maverick,document-extraction:v1-production:markitdown,v1-production,markitdown,MA-01,interactive,0.0,False,False,1130,0,437,397,834
production-context,eval-PLg-2026-08-22T19:57:32,openai:chat:llama-4-maverick,meta-large:llama-4-maverick,document-extraction:v2-evidence-bound:markitdown,v2-evidence-bound,markitdown,MA-01,interactive,0.38631178707224334,False,False,579,0,601,122,723
production-context,eval-PLg-2026-08-22T19:57:32,openai:chat:llama-4-maverick,meta-large:llama-4-maverick,document-extraction:v1-production:markitdown+fields,v1-production,markitdown+fields,MA-01,interactive,0.0,False,False,3218,0,1268,919,2187
production-context,eval-PLg-2026-08-22T19:57:32,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,document-extraction:v1-production:markitdown+fields,v1-production,markitdown+fields,MA-01,interactive,0.688212927756654,True,False,1968,0.0004561000000000001,1268,162,1430
production-context,eval-PLg-2026-08-22T19:57:32,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,document-extraction:v2-evidence-bound:markitdown+fields,v2-evidence-bound,markitdown+fields,MA-01,interactive,0.858808618504436,True,False,2272,0.0004949500000000001,1431,167,1598
production-context,eval-PLg-2026-08-22T19:57:32,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,document-extraction:v2-evidence-bound:vision+markitdown+fields,v2-evidence-bound,vision+markitdown+fields,MA-01,interactive,0.858808618504436,True,False,4433,0.0008075500000000001,2344,271,2615
production-context,eval-PLg-2026-08-22T19:57:32,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,document-extraction:v1-production:vision+markitdown+fields,v1-production,vision+markitdown+fields,MA-01,interactive,0.7460709759188846,True,False,5283,0.00071685,2228,217,2445
production-context,eval-PLg-2026-08-22T19:57:32,openai:chat:gpt-5.4,openai-large:gpt-5.4,document-extraction:v1-production:markitdown+fields,v1-production,markitdown+fields,MA-01,interactive,0.8372623574144487,True,False,3849,0.008435,1268,351,1619
production-context,eval-PLg-2026-08-22T19:57:32,openai:chat:gpt-5.4,openai-large:gpt-5.4,document-extraction:v2-evidence-bound:markitdown+fields,v2-evidence-bound,markitdown+fields,MA-01,interactive,0.8372623574144487,True,False,3077,0.007492500000000001,1431,261,1692
production-context,eval-PLg-2026-08-22T19:57:32,openai:chat:gpt-5.4,openai-large:gpt-5.4,document-extraction:v1-production:vision+markitdown+fields,v1-production,vision+markitdown+fields,MA-01,interactive,0.8372623574144487,True,False,3353,0.009245,2228,245,2473
production-context,eval-PLg-2026-08-22T19:57:32,openai:chat:gpt-5.4,openai-large:gpt-5.4,document-extraction:v2-evidence-bound:vision+markitdown+fields,v2-evidence-bound,vision+markitdown+fields,MA-01,interactive,0.8372623574144487,True,False,4211,0.010090000000000002,2344,282,2626
production-context,eval-PLg-2026-08-22T19:57:32,openai:chat:gpt-4o-mini,openai-small:gpt-4o-mini,document-extraction:v2-evidence-bound:markitdown+fields,v2-evidence-bound,markitdown+fields,MA-01,interactive,1.0,True,False,1944,0.0002982,1432,139,1571
production-context,eval-PLg-2026-08-22T19:57:32,openai:chat:gpt-4o-mini,openai-small:gpt-4o-mini,document-extraction:v1-production:vision+markitdown+fields,v1-production,vision+markitdown+fields,MA-01,interactive,1.0,True,False,1778,0.00408825,26823,108,26931
production-context,eval-PLg-2026-08-22T19:57:32,openai:chat:gpt-4o-mini,openai-small:gpt-4o-mini,document-extraction:v2-evidence-bound:vision+markitdown+fields,v2-evidence-bound,vision+markitdown+fields,MA-01,interactive,1.0,True,False,2238,0.004124849999999999,26939,140,27079
production-context,eval-PLg-2026-08-22T19:57:32,openai:chat:gpt-4o,openai-large:gpt-4o,document-extraction:v1-production:markitdown+fields,v1-production,markitdown+fields,MA-01,interactive,0.7097591888466412,True,False,1251,0.003942500000000001,1269,77,1346
