suite,eval_id,provider_id,provider_label,prompt_label,prompt_version,input_mode,case_id,variant,classification_level,score,passed,api_error,latency_ms,cost,prompt_tokens,completion_tokens,total_tokens
classification,eval-Jrh-2026-08-23T02:35:21,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,taxonomy-classification:v1:baseline,v1,baseline,MA-01,flattened,case category,0.2,False,False,2570,0.00041095,961,175,1136
classification,eval-Jrh-2026-08-23T02:35:21,openai:chat:mistral-large-3,mistral-large:mistral-large-3,taxonomy-classification:v1:baseline,v1,baseline,MA-01,flattened,case category,0.0,False,False,3096,0,1111,433,1544
classification,eval-Jrh-2026-08-23T02:35:21,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,taxonomy-classification:v1:baseline,v1,baseline,MA-01,flattened,case type,1.0,True,False,1832,0.0003417,771,150,921
classification,eval-Jrh-2026-08-23T02:35:21,openai:chat:mistral-large-3,mistral-large:mistral-large-3,taxonomy-classification:v1:baseline,v1,baseline,MA-01,flattened,case type,1.0,True,False,1635,0,861,195,1056
classification,eval-Jrh-2026-08-23T02:35:21,openai:chat:mistral-large-3,mistral-large:mistral-large-3,taxonomy-classification:v1:baseline,v1,baseline,MA-01,flattened,filing type,1.0,True,False,1457,0,1311,237,1548
classification,eval-Jrh-2026-08-23T02:35:21,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,taxonomy-classification:v1:baseline,v1,baseline,MA-01,flattened,filing type,1.0,True,False,2063,0.00046065000000000006,1147,185,1332
classification,eval-Jrh-2026-08-23T02:35:21,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,taxonomy-classification:v1:baseline,v1,baseline,MA-05,flattened,filing type,1.0,True,False,1872,0.00040965,1042,161,1203
classification,eval-Jrh-2026-08-23T02:35:21,openai:chat:mistral-large-3,mistral-large:mistral-large-3,taxonomy-classification:v1:baseline,v1,baseline,MA-05,flattened,filing type,1.0,True,False,1862,0,1183,195,1378
classification,eval-Jrh-2026-08-23T02:35:21,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,taxonomy-classification:v1:baseline,v1,baseline,MA-06,flattened,case type,1.0,True,False,1473,0.0003554000000000001,802,156,958
classification,eval-Jrh-2026-08-23T02:35:21,openai:chat:mistral-large-3,mistral-large:mistral-large-3,taxonomy-classification:v1:baseline,v1,baseline,MA-06,flattened,case type,1.0,True,False,1624,0,903,136,1039
classification,eval-Jrh-2026-08-23T02:35:21,openai:chat:mistral-large-3,mistral-large:mistral-large-3,taxonomy-classification:v1:baseline,v1,baseline,MA-06,flattened,filing type,1.0,True,False,1311,0,1637,164,1801
classification,eval-Jrh-2026-08-23T02:35:21,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,taxonomy-classification:v1:baseline,v1,baseline,MA-06,flattened,filing type,1.0,True,False,1833,0.0004947,1436,166,1602
classification,eval-Jrh-2026-08-23T02:35:21,openai:chat:mistral-large-3,mistral-large:mistral-large-3,taxonomy-classification:v1:baseline,v1,baseline,VT-01,flattened,case category,1.0,True,False,3509,0,949,168,1117
classification,eval-Jrh-2026-08-23T02:35:21,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,taxonomy-classification:v1:baseline,v1,baseline,VT-01,flattened,case category,1.0,True,False,3969,0.00036085,848,153,1001
