suite,eval_id,provider_id,provider_label,prompt_label,prompt_version,input_mode,case_id,variant,classification_level,score,passed,api_error,latency_ms,cost,prompt_tokens,completion_tokens,total_tokens
classification,eval-fIQ-2026-08-23T02:39:32,openai:chat:mistral-large-3,mistral-large:mistral-large-3,taxonomy-classification:v1:baseline,v1,baseline,MA-01,flattened,case category,0.3,False,False,3938,0,1090,263,1353
classification,eval-fIQ-2026-08-23T02:39:32,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,taxonomy-classification:v1:baseline,v1,baseline,MA-01,flattened,case category,1.0,True,False,4275,0.00038525000000000007,945,157,1102
classification,eval-fIQ-2026-08-23T02:39:32,openai:chat:mistral-large-3,mistral-large:mistral-large-3,taxonomy-classification:v1:baseline,v1,baseline,MA-01,flattened,case type,1.0,True,False,1394,0,849,195,1044
classification,eval-fIQ-2026-08-23T02:39:32,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,taxonomy-classification:v1:baseline,v1,baseline,MA-01,flattened,case type,1.0,True,False,2031,0.00037240000000000005,762,176,938
classification,eval-fIQ-2026-08-23T02:39:32,openai:chat:mistral-large-3,mistral-large:mistral-large-3,taxonomy-classification:v1:baseline,v1,baseline,MA-01,flattened,filing type,1.0,True,False,1456,0,1311,237,1548
classification,eval-fIQ-2026-08-23T02:39:32,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,taxonomy-classification:v1:baseline,v1,baseline,MA-01,flattened,filing type,1.0,True,False,2306,0.00029758000000000003,1147,202,1349
classification,eval-fIQ-2026-08-23T02:39:32,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,taxonomy-classification:v1:baseline,v1,baseline,MA-05,flattened,filing type,1.0,True,False,1594,0.00039590000000000003,1042,150,1192
classification,eval-fIQ-2026-08-23T02:39:32,openai:chat:mistral-large-3,mistral-large:mistral-large-3,taxonomy-classification:v1:baseline,v1,baseline,MA-05,flattened,filing type,1.0,True,False,1424,0,1183,162,1345
classification,eval-fIQ-2026-08-23T02:39:32,openai:chat:mistral-large-3,mistral-large:mistral-large-3,taxonomy-classification:v1:baseline,v1,baseline,MA-06,flattened,case type,1.0,True,False,907,0,884,135,1019
classification,eval-fIQ-2026-08-23T02:39:32,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,taxonomy-classification:v1:baseline,v1,baseline,MA-06,flattened,case type,1.0,True,False,1799,0.00035655,789,159,948
