suite,provider_label,prompt_label,runs,mean_score,passes,errors,mean_latency_ms,total_tokens,total_cost
production-context,meta-large:llama-4-maverick,document-extraction:v1-production:markitdown,3,0.0,0,0,1751,2986,0
production-context,meta-large:llama-4-maverick,document-extraction:v1-production:markitdown+fields,3,0.0,0,0,1919,3676,0
production-context,meta-large:llama-4-maverick,document-extraction:v1-production:vision+markitdown+fields,3,1.0,3,0,2109,10043,0
production-context,meta-large:llama-4-maverick,document-extraction:v2-evidence-bound:markitdown,3,0.41504,1,0,651,2076,0
production-context,meta-large:llama-4-maverick,document-extraction:v2-evidence-bound:markitdown+fields,3,0.572539,2,0,1159,3324,0
production-context,meta-large:llama-4-maverick,document-extraction:v2-evidence-bound:vision+markitdown+fields,3,0.905872,3,0,1913,10431,0
production-context,meta-small:llama-4-scout,document-extraction:v1-production:markitdown,3,0.0,0,0,2878,2120,0
production-context,meta-small:llama-4-scout,document-extraction:v1-production:markitdown+fields,3,0.0,0,0,2554,2691,0
production-context,meta-small:llama-4-scout,document-extraction:v1-production:vision+markitdown+fields,3,0.0,0,0,1729,10055,0
production-context,meta-small:llama-4-scout,document-extraction:v2-evidence-bound:markitdown,3,0.407858,1,0,1179,2058,0
production-context,meta-small:llama-4-scout,document-extraction:v2-evidence-bound:markitdown+fields,3,0.612421,2,0,1944,2929,0
production-context,meta-small:llama-4-scout,document-extraction:v2-evidence-bound:vision+markitdown+fields,3,1.0,3,0,1953,10421,0
production-context,openai-large:gpt-4o,document-extraction:v1-production:markitdown,3,0.394912,1,0,1243,1662,0.0071925
production-context,openai-large:gpt-4o,document-extraction:v1-production:markitdown+fields,3,0.537671,2,0,1577,2521,0.0094225
production-context,openai-large:gpt-4o,document-extraction:v1-production:vision+markitdown+fields,3,0.858809,3,0,2981,4524,0.0141525
production-context,openai-large:gpt-4o,document-extraction:v2-evidence-bound:markitdown,3,0.462104,1,0,1289,2073,0.007635
production-context,openai-large:gpt-4o,document-extraction:v2-evidence-bound:markitdown+fields,3,0.666667,2,0,1169,2929,0.009835
production-context,openai-large:gpt-4o,document-extraction:v2-evidence-bound:vision+markitdown+fields,3,1.0,3,0,2967,4896,0.0152625
production-context,openai-large:gpt-5.4,document-extraction:v1-production:markitdown,3,0.407858,1,0,6537,1844,0.011985
production-context,openai-large:gpt-5.4,document-extraction:v1-production:markitdown+fields,3,0.558175,2,0,4025,2718,0.014495
production-context,openai-large:gpt-5.4,document-extraction:v1-production:vision+markitdown+fields,3,0.837262,3,0,3235,5636,0.022265
production-context,openai-large:gpt-5.4,document-extraction:v2-evidence-bound:markitdown,3,0.407858,1,0,3571,2301,0.0127275
production-context,openai-large:gpt-5.4,document-extraction:v2-evidence-bound:markitdown+fields,3,0.612421,2,0,2709,3125,0.0144875
production-context,openai-large:gpt-5.4,document-extraction:v2-evidence-bound:vision+markitdown+fields,3,0.837262,3,0,5756,6078,0.024545
production-context,openai-small:gpt-4o-mini,document-extraction:v1-production:markitdown,3,0.256953,1,0,2545,1746,0.00048195
production-context,openai-small:gpt-4o-mini,document-extraction:v1-production:markitdown+fields,3,0.336782,1,0,2126,2726,0.00068835
production-context,openai-small:gpt-4o-mini,document-extraction:v1-production:vision+markitdown+fields,3,0.868293,3,0,2133,79138,0.01203765
production-context,openai-small:gpt-4o-mini,document-extraction:v2-evidence-bound:markitdown,3,0.350149,1,0,1667,2089,0.0004677
production-context,openai-small:gpt-4o-mini,document-extraction:v2-evidence-bound:markitdown+fields,3,0.554711,2,0,1837,2953,0.0006045
production-context,openai-small:gpt-4o-mini,document-extraction:v2-evidence-bound:vision+markitdown+fields,3,0.905872,3,0,2411,79542,0.01212345
production-context,openai-small:gpt-5.4-nano,document-extraction:v1-production:markitdown,3,0.410074,1,0,2427,1902,0.0010608
production-context,openai-small:gpt-5.4-nano,document-extraction:v1-production:markitdown+fields,3,0.562738,2,0,1880,2704,0.0011729
production-context,openai-small:gpt-5.4-nano,document-extraction:v1-production:vision+markitdown+fields,3,0.78365,3,0,3716,5685,0.00187515
production-context,openai-small:gpt-5.4-nano,document-extraction:v2-evidence-bound:markitdown,3,0.380098,1,0,2259,2220,0.00094485
production-context,openai-small:gpt-5.4-nano,document-extraction:v2-evidence-bound:markitdown+fields,3,0.531536,2,0,2439,3170,0.00124195
production-context,openai-small:gpt-5.4-nano,document-extraction:v2-evidence-bound:vision+markitdown+fields,3,0.810623,3,0,2951,5971,0.00186725
