suite,eval_id,provider_id,provider_label,prompt_label,prompt_version,input_mode,case_id,variant,classification_level,score,passed,api_error,latency_ms,cost,prompt_tokens,completion_tokens,total_tokens
classification,eval-5NW-2026-08-23T02:36:54,openai:chat:mistral-large-3,mistral-large:mistral-large-3,taxonomy-classification:v2:form-crosswalk,v2,form-crosswalk,MA-01,flattened,case category,1.0,True,False,1649,0,1418,201,1619
classification,eval-5NW-2026-08-23T02:36:54,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,taxonomy-classification:v2:form-crosswalk,v2,form-crosswalk,MA-01,flattened,case category,1.0,True,False,2309,0.0005056500000000001,1247,205,1452
classification,eval-5NW-2026-08-23T02:36:54,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,taxonomy-classification:v2:form-crosswalk,v2,form-crosswalk,MA-01,flattened,case type,1.0,True,False,1883,0.00042140000000000005,1057,168,1225
classification,eval-5NW-2026-08-23T02:36:54,openai:chat:mistral-large-3,mistral-large:mistral-large-3,taxonomy-classification:v2:form-crosswalk,v2,form-crosswalk,MA-01,flattened,case type,1.0,True,False,1942,0,1168,200,1368
classification,eval-5NW-2026-08-23T02:36:54,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,taxonomy-classification:v2:form-crosswalk,v2,form-crosswalk,MA-01,flattened,filing type,1.0,True,False,2572,0.00039478,1433,234,1667
classification,eval-5NW-2026-08-23T02:36:54,openai:chat:mistral-large-3,mistral-large:mistral-large-3,taxonomy-classification:v2:form-crosswalk,v2,form-crosswalk,MA-01,flattened,filing type,1.0,True,False,5109,0,1618,248,1866
classification,eval-5NW-2026-08-23T02:36:54,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,taxonomy-classification:v2:form-crosswalk,v2,form-crosswalk,MA-05,flattened,filing type,1.0,True,False,1674,0.00032708,1307,200,1507
classification,eval-5NW-2026-08-23T02:36:54,openai:chat:mistral-large-3,mistral-large:mistral-large-3,taxonomy-classification:v2:form-crosswalk,v2,form-crosswalk,MA-05,flattened,filing type,1.0,True,False,1211,0,1455,195,1650
classification,eval-5NW-2026-08-23T02:36:54,openai:chat:mistral-large-3,mistral-large:mistral-large-3,taxonomy-classification:v2:form-crosswalk,v2,form-crosswalk,MA-06,flattened,case type,1.0,True,False,1663,0,1195,172,1367
classification,eval-5NW-2026-08-23T02:36:54,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,taxonomy-classification:v2:form-crosswalk,v2,form-crosswalk,MA-06,flattened,case type,1.0,True,False,1902,0.00044325000000000007,1085,181,1266
classification,eval-5NW-2026-08-23T02:36:54,openai:chat:mistral-large-3,mistral-large:mistral-large-3,taxonomy-classification:v2:form-crosswalk,v2,form-crosswalk,MA-06,flattened,filing type,1.0,True,False,1472,0,1929,220,2149
classification,eval-5NW-2026-08-23T02:36:54,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,taxonomy-classification:v2:form-crosswalk,v2,form-crosswalk,MA-06,flattened,filing type,1.0,True,False,2537,0.00038965,1719,221,1940
classification,eval-5NW-2026-08-23T02:36:54,openai:chat:mistral-large-3,mistral-large:mistral-large-3,taxonomy-classification:v2:form-crosswalk,v2,form-crosswalk,VT-01,flattened,case category,1.0,True,False,1377,0,1140,206,1346
classification,eval-5NW-2026-08-23T02:36:54,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,taxonomy-classification:v2:form-crosswalk,v2,form-crosswalk,VT-01,flattened,case category,1.0,True,False,2383,0.00044720000000000003,1036,192,1228
classification,eval-5NW-2026-08-23T02:36:54,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,taxonomy-classification:v2:form-crosswalk,v2,form-crosswalk,VT-01,flattened,case type,1.0,True,False,1811,0.0002972,1463,188,1651
classification,eval-5NW-2026-08-23T02:36:54,openai:chat:mistral-large-3,mistral-large:mistral-large-3,taxonomy-classification:v2:form-crosswalk,v2,form-crosswalk,VT-01,flattened,case type,1.0,True,False,1775,0,1637,216,1853
classification,eval-5NW-2026-08-23T02:36:54,openai:chat:mistral-large-3,mistral-large:mistral-large-3,taxonomy-classification:v2:form-crosswalk,v2,form-crosswalk,VT-01,flattened,filing type,1.0,True,False,1415,0,4426,236,4662
classification,eval-5NW-2026-08-23T02:36:54,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,taxonomy-classification:v2:form-crosswalk,v2,form-crosswalk,VT-01,flattened,filing type,1.0,True,False,2109,0.00037728,3837,204,4041
classification,eval-5NW-2026-08-23T02:36:54,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,taxonomy-classification:v2:form-crosswalk,v2,form-crosswalk,VT-03,flattened,case type,1.0,True,False,1814,0.00032136,2250,192,2442
classification,eval-5NW-2026-08-23T02:36:54,openai:chat:mistral-large-3,mistral-large:mistral-large-3,taxonomy-classification:v2:form-crosswalk,v2,form-crosswalk,VT-03,flattened,case type,1.0,True,False,1712,0,2624,217,2841
classification,eval-5NW-2026-08-23T02:36:54,openai:chat:mistral-large-3,mistral-large:mistral-large-3,taxonomy-classification:v2:form-crosswalk,v2,form-crosswalk,VT-03,flattened,filing type,0.2,False,False,10258,0,3081,234,3315
classification,eval-5NW-2026-08-23T02:36:54,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,taxonomy-classification:v2:form-crosswalk,v2,form-crosswalk,VT-03,flattened,filing type,1.0,True,False,4034,0.00044713,2678,261,2939
classification,eval-5NW-2026-08-23T02:36:54,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,taxonomy-classification:v2:form-crosswalk,v2,form-crosswalk,VT-06,flattened,filing type,1.0,True,False,2027,0.00031717000000000003,2989,181,3170
classification,eval-5NW-2026-08-23T02:36:54,openai:chat:mistral-large-3,mistral-large:mistral-large-3,taxonomy-classification:v2:form-crosswalk,v2,form-crosswalk,VT-06,flattened,filing type,1.0,True,False,4400,0,3428,206,3634
classification,eval-5NW-2026-08-23T02:36:54,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,taxonomy-classification:v2:form-crosswalk,v2,form-crosswalk,IL-02,flattened,case category,1.0,True,False,1644,0.00027593,1320,157,1477
classification,eval-5NW-2026-08-23T02:36:54,openai:chat:mistral-large-3,mistral-large:mistral-large-3,taxonomy-classification:v2:form-crosswalk,v2,form-crosswalk,IL-02,flattened,case category,1.0,True,False,3925,0,1489,218,1707
classification,eval-5NW-2026-08-23T02:36:54,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,taxonomy-classification:v2:form-crosswalk,v2,form-crosswalk,IL-02,flattened,case type,1.0,True,False,2018,0.00038375000000000003,1075,135,1210
classification,eval-5NW-2026-08-23T02:36:54,openai:chat:mistral-large-3,mistral-large:mistral-large-3,taxonomy-classification:v2:form-crosswalk,v2,form-crosswalk,IL-02,flattened,case type,1.0,True,False,1517,0,1185,198,1383
classification,eval-5NW-2026-08-23T02:36:54,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,taxonomy-classification:v2:form-crosswalk,v2,form-crosswalk,IL-02,flattened,filing type,1.0,True,False,1802,0.00034735,1645,199,1844
classification,eval-5NW-2026-08-23T02:36:54,openai:chat:mistral-large-3,mistral-large:mistral-large-3,taxonomy-classification:v2:form-crosswalk,v2,form-crosswalk,IL-02,flattened,filing type,1.0,True,False,1640,0,1906,219,2125
classification,eval-5NW-2026-08-23T02:36:54,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,taxonomy-classification:v2:form-crosswalk,v2,form-crosswalk,IL-04,flattened,case type,1.0,True,False,2991,0.00041030000000000005,1616,254,1870
classification,eval-5NW-2026-08-23T02:36:54,openai:chat:mistral-large-3,mistral-large:mistral-large-3,taxonomy-classification:v2:form-crosswalk,v2,form-crosswalk,IL-04,flattened,case type,1.0,True,False,1954,0,1897,232,2129
classification,eval-5NW-2026-08-23T02:36:54,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,taxonomy-classification:v2:form-crosswalk,v2,form-crosswalk,IL-08,flattened,case category,1.0,True,False,2082,0.00034268,1285,216,1501
classification,eval-5NW-2026-08-23T02:36:54,openai:chat:mistral-large-3,mistral-large:mistral-large-3,taxonomy-classification:v2:form-crosswalk,v2,form-crosswalk,IL-08,flattened,case category,1.0,True,False,6659,0,1471,231,1702
classification,eval-5NW-2026-08-23T02:36:54,openai:chat:gpt-5.4-nano,openai-small:gpt-5.4-nano,taxonomy-classification:v2:form-crosswalk,v2,form-crosswalk,IL-10,motion-facsimile,filing type,1.0,True,False,2096,0.00041224,3651,188,3839
classification,eval-5NW-2026-08-23T02:36:54,openai:chat:mistral-large-3,mistral-large:mistral-large-3,taxonomy-classification:v2:form-crosswalk,v2,form-crosswalk,IL-10,motion-facsimile,filing type,1.0,True,False,5093,0,4512,220,4732
